|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from Spanish to English: ""- Ya sabes, Siciliana, Gambito de reina..."""|"""You know, Sicilian, Queen's Gambit..."""|- You know, Sicily, Queen's Gambit...|0.83351386|1.0|0.8333333333333334|1.0|4.0|1.0
1|"Translate the following from Spanish to English: ""Sólo la gravedad cuántica de bucles calcula la entropía de los agujeros negros."""|The only quantum gravity theory that calculates the entropy of black holes is loop quantum gravity|Only loop quantum gravity calculates the entropy of black holes.|0.9315483|1.0|0.6923076923076923|1.0|4.0|1.0
2|"Translate the following from Spanish to English: ""Soy joven."""|I am young.|I've just grown u...|0.696749|0.0|0.25|0.0|1.0|0.0
3|"Translate the following from Spanish to English: ""Así que esta noche tú rezarás conmigo."""||So this evening you'll pray with me|0.4595248|0.0|0.0|0.0|4.0|1.0
4|"Translate the following from Spanish to English: ""¡Miranda, dentalina, ilang ilang!"""|"""Miranda, dentaline, ilang ilang!"""|Miranda, dentaline, ilang ilang!|0.9322901|1.0|1.0|1.0|1.0|0.0
5|"Translate the following from Spanish to English: ""Un día abierto a visitas cuando su casa recién se pone en el Mercado puede ser muy importante, pero no por las razones que los dueños creen. Así como con la publicidad, muchos visitantes de los Open Houses raramente están interesados en comprarlas."""|An open day for visits when your house is newly on the market can be very important, but not for the reasons that the|An open house when your property is first placed on the market can be very important, but not for the reasons most homeowners think.|0.8654472|1.0|0.7083333333333334|1.0|4.0|1.0
6|"Translate the following from Spanish to English: ""El párrafo 2 de la Orden permanente pide al Presidente de la Cámara que nombre a ese efecto un Comité de Selección compuesto al menos por siete diputados."""|The second paragraph of|But such resolution cannot be proceeded with until after the expiration of a period of one month from the date on which the Select Committee was appointed.|0.3130715|0.0|0.12903225806451613|0.0|1.0|0.0
7|"Translate the following from Spanish to English: ""Sólo espero haber cumplido con lo que una madre espera de su hijo."""|I only hope I have|I only hope I lived up to what a mother should expect from her son.|0.6231774|0.0|0.4|0.0|4.0|1.0
8|"Translate the following from Spanish to English: ""La crisis que se escribe con mayúsculas es la que suele acompañar el declive de un imperio."""||The crises that one writes in capital letters are those that typically go with the decline of an empire.|0.32868692|0.0|0.0|0.0|4.0|1.0
9|"Translate the following from Spanish to English: ""La gran explosión fue tan inmensa que trajo a la existencia toda la masa y toda la energía contenida en las 400 mil millones de galaxias que vemos hoy."""|The great explosion was so immense that it brought into existence all the mass and all the energy contained in the 400 billion galaxies that we see today.|This is the birth of a black hole.|0.54225147|0.0|0.05555555555555556|0.0|1.0|0.0
10|"Translate the following from Spanish to English: ""No estaba en shock."""|"""I was not in shock."""|It wasn't shock.|0.8058844|1.0|0.22222222222222224|0.0|3.0|0.0
11|"Translate the following from Spanish to English: ""Qué acontecimiento tan glorioso."""|What a glorious event.|What a gloriously splendid occasion.|0.9363338|1.0|0.4444444444444445|0.0|5.0|1.0
12|"Translate the following from Spanish to English: ""No se preocupe, estos consejos pueden ayudarle a mejorar adecuadamente sus nutrientes."""||Do not be concerned, these tips may help you properly improve your nutrients.|0.45561713|0.0|0.0|0.0|4.0|1.0
13|"Translate the following from Spanish to English: ""Si creo que me dices la verdad... entonces te evitaré el sufrimiento."""||If I think you're telling me the truth, I'll let you end it quickly.|0.4015201|0.0|0.0|0.0|3.0|0.0
