|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Context: Майкл Патрик Смит (родился 19 января 1942 года), известный как Майкл Кроуфорд, — английский актер, комик и певец. Он получил высокую оценку критиков и выиграл многочисленные награды за свою карьеру, которая охватывает радио, телевидение, кино и театральные работы как на лондонском Вест-Энде, так и на Бродвее в Нью-Йорке. ""Chalk and Cheese"" был недолго просуществовавшим ситкомом, в котором снялись Майкл Кроуфорд и Робин Хоудон. Question: Какой английский актёр, комик и певец снялся в сериале ""Мел и сыр""?"|Michael Crawford|Майкл Патрик Смит|0.74516356|1.0|0.0|0.0|5.0|1.0
1|"Context: В середине 1984 года бразильская компания Prológica, которая производила собственные версии американских 8-битных компьютеров, вывела на бразильский рынок новое оборудование для своей серии персональных компьютеров под названием ""CP"" (сокращение от Personal Computer на португальском). Atari ST — это линейка домашних компьютеров от Atari Corporation и преемник семейства Atari 8-bit. Первая модель ST, 520ST, была выпущена в ограниченном количестве с апреля по июнь 1985 года и стала широко доступна в июле. Atari ST — это первый персональный компьютер с растровым цветным графическим интерфейсом, использующий версию GEM от Digital Research, вышедшую в феврале 1985 года. Модель 1040ST, выпущенная в 1986 году, стала первым персональным компьютером, поставляющимся с мегабайтом оперативной памяти в базовой конфигурации и также первым с ценой за килобайт менее 1 доллара США. Question: Являются ли Prológica CP-400 и Atari ST обоими персональными компьютерами?"|Да|да|0.83927965|1.0|0.0|0.0|5.0|1.0
2|"Context: Чеширская футбольная ассоциация лига — это футбольное соревнование, базирующееся в Чешире, Англия, которое до 2007 года было известно как Средне-Чеширская футбольная ассоциация лига. С сезона 2017–18 лига включает четыре дивизиона: Премьер-дивизион, Дивизионы Один и Два, а также Дивизион резервов. Основанная в 1948 году, только один клуб (Кнутсфорд) сохранял непрерывное членство с момента создания лиги. Два других клуба-основателя недавно покинули лигу — Уитчерч Алпорт в 2012 году и Бартон летом 2014 года. Футбольный клуб ""Аштон Таун"" (Ashton Town Association Football Club) — это футбольный клуб, расположенный в Аштон-ин-Мейкерфилд, Большой Манчестер, Англия. В настоящее время клуб является членом Премьер-дивизиона Лиги Чешира и проводит свои матчи на стадионе Эдж Грин Стрит, в одной миле на северо-восток от центра города. Question: Членом какого дивизиона Лиги Чешира сезона 2017-18 в настоящее время является футбольный клуб «Эштон Таун»?"|Premier Division|Премьер-дивизион|0.95893705|1.0|0.0|0.0|5.0|1.0
3|Context: Вирджиния Рузичи (родилась 31 января 1955 года) — бывшая профессиональная теннисистка из Румынии. Она выиграла одиночный чемпионат Открытого чемпионата Франции в 1978 году. Сэр Эндрю Баррон Мюррей (родился 15 мая 1987 года) — британский профессиональный теннисист из Шотландии, занимающий третье место в мировом рейтинге мужского одиночного разряда. Мюррей представляет Великобританию в спортивных соревнованиях и является трехкратным победителем турниров Большого шлема, двукратным олимпийским чемпионом, победителем Кубка Дэвиса и победителем Финала Мирового тура ATP в 2016 году. Question: В каком виде спорта участвуют и Вирджиния Ружичи, и Энди Маррей?|Теннис|профессиональный теннисист|0.7719503|1.0|0.0|0.0|1.0|0.0
4|Context: Уильям Кинг (9 февраля 1768 — 17 июня 1852) был американским торговцем, судостроителем, офицером армии и государственным деятелем из Бата, штат Мэн. Сторонник предоставления статуса штата Мэну, он стал его первым губернатором, когда Мэн отделился от Массачусетса в 1820 году. Губернаторские выборы в Мэне в 1820 году состоялись 3 апреля 1820 года. Это были первые выборы губернатора Мэна, проводившиеся после отделения Мэна от Массачусетса и признания его штатом 15 марта 1820 года. Отделение Мэна от Массачусетса произошло в результате Миссурийского компромисса. На этих выборах практически единогласно был избран Уильям Кинг, человек, наиболее ответственный за продвижение идеи получения статуса штата для Мэна. У него не было соперников. Question: Откуда был первый губернатор после Миссурийского компромисса?|Бат|Бат, штат Мэн|0.7986008|1.0|0.0|0.0|5.0|1.0
5|Context: Международный аэропорт Паго-Паго (IATA: PPG, ICAO: NSTU, FAA LID: PPG), также известный как аэропорт Тафуна, является общественным аэропортом, расположенным в 7 милях (11,3 км) юго-западнее центрального делового района Паго-Паго, в деревне и на равнинах Тафуна на острове Тутуила в Американском Самоа, неинкорпорированной территории США. Метрополитен аэропорт Чаттануга (IATA: CHA, ICAO: KCHA, FAA LID: CHA), также известный как Ловелл Филд, является общественным аэропортом, расположенным в пяти милях (8 км) к востоку от центрального делового района Чаттануги, города в округе Хэмилтон штата Теннесси, США. Аэропорт принадлежит и управляется Управлением Метрополитен аэропорта Чаттануги. Это аэропорт класса C, обслуживаемый службой подхода Чаттануги. Question: Какой аэропорт ближе к центральному деловому району их местного сообщества: Международный аэропорт Паго-Паго или Метрополитен аэропорт Чаттануга?|Метрополитен аэропорт Чаттануга|Чаттануга Метрополитен Аэропорт|0.968281|1.0|0.0|0.0|5.0|1.0
6|"Context: Швейцарский низкорослый гончий (Швейцарский Нидерлауфхунд) (FCI №60), переводится на английский как Малый Швейцарский Гончий, является породой собак типа гончих из Швейцарии. ""Нидерлауфхунд"" означает коротконогий гончий. Порода имеет несколько различных разновидностей (все из одной породы). Португальский Поденго — это древняя порода собак-гончей из Португалии, обладающая многосенсорными способностями (зрение и обоняние). Эта порода делится на три размерные категории, которые не скрещиваются между собой: маленькая (Pequeno), средняя (Medio) и большая (Grande). Шерсть у них может быть либо короткой и ""гладкой"", либо более длинной и ""жёсткой"". Гладкошёрстный вид является традиционным, его происхождение относится к V веку, тогда как жёсткошёрстный вид появился в результате интеграции различных других пород в XX веке. В целом, эта порода отличается крепким здоровьем; маленький вид (Pequeno) имеет среднюю продолжительность жизни приблизительно от 15 до 17 лет. Question: Обе ли породы собак — Schweizerischer Niederlaufhund и Portuguese Podengo — происходят из Португалии?"|No|нет|0.86611545|1.0|0.0|0.0|1.0|0.0
7|"Context: Velvetpark: Dyke Culture in Bloom — это сайт, посвященный лесбийскому и феминистскому искусству и культуре, который регулярно публикует материалы о музыке, литературе, театре, изобразительном искусстве, кино, телевидении и социальной активности, влияющей на квир-культуру. ""Velvetpark"" также является площадкой для социальной сети и сообщества знакомств для лесбиянок и женщин, идентифицирующих себя как квир. Shape — это ежемесячный англоязычный журнал о фитнесе, запущенный Weider Publications в 1981 году и основанный Кристин МакИнтайр (пионером в области фитнеса с использованием свободных весов для женщин). Журнал стал номером один среди женских журналов о фитнесе. В то время Weider Enterprises в основном состояло из журнала о бодибилдинге «Muscle & Fitness». Джо Вейдер и Кристин МакИнтайр имели разные представления о том, как следует представить журнал ""Shape"": Вейдер поддерживал менее журналистский и более коммерческий подход к статьям, в то время как МакИнтайр поддерживала более академический, основанный на медицинских фактах журнал. Вейдер также ратовал за более сексуальный подход к редакционным материалам, тогда как МакИнтайр поддерживала более здоровый облик женщин, избегая сексуальности в моделях и содержании. МакИнтайр в значительной степени одержала победу в этом споре, редактируя журнал, который требовал, чтобы все авторы имели высшую медицинскую степень, чтобы модели на обложке выглядели здоровыми, а не сексуальными, и чтобы избегалась сексистская лексика. Кристин МакИнтайр была главным редактором до своей смерти в 1988 году. Question: Журнал Velvetpark или Shape больше ориентирован на женскую аудиторию, идентифицирующую себя как лесбиянки и квиры?"|Velvetpark|Вельветпарк|0.8993237|1.0|0.0|0.0|5.0|1.0
8|"Context: Джек Томас Чик (13 апреля 1924 – 23 октября 2016) был американским карикатуристом и издателем, наиболее известным своими евангельскими фундаменталистскими христианскими ""брошюрами Чика"", которые представляли его точку зрения на различные вопросы через последовательные произведения искусства, являющиеся моральными драмами. Фред Картер (родился 22 июня 1938 года) — американский художник, известный своими работами для трактатов Джека Чика с 1972 года. Question: Кем был американский карикатурист и издатель, у которого работал Фред Картер?"|Джек Чик </|Джек Чик|0.679877|0.0|0.0|0.0|5.0|1.0
9|Context: Сенат штата Гавайи является верхней палатой Законодательного собрания штата Гавайи. Сенат состоит из двадцати пяти членов, избираемых от равного числа избирательных округов по всему архипелагу. Сенат возглавляет Президент Сената, избираемый из числа его членов, в настоящее время это Рон Кучи. Предшественником Сената штата Гавайи во времена правительства Королевства Гавайи была Палата Знати, образованная в 1840 году. В 1894 году Конституция Республики Гавайи переименовала верхнюю палату в современный сенат. Сенаторы избираются на четырехлетние сроки и не подлежат ограничению по количеству сроков. Как и большинство законодательных органов штатов в США, Сенат штата Гавайи является неполной занятостью, и сенаторы часто имеют активную карьеру вне правительства. Нижняя палата законодательного собрания называется Палатой представителей Гавайев. Члены Сената также избирают дополнительных должностных лиц, включая Вице-президента Сената, Главного секретаря Сената, помощника Главного секретаря, сержанта Сената и помощника сержанта. Сюзанна Н. Дж. 'Сьюзи' Чун Окленд является членом Сената Гавайев от Демократической партии, представляющим 13-й округ с 1996 года. Ранее она была членом Палаты представителей Гавайев с 1990 по 1996 год. Она, как правило, считается сторонником либеральных политических взглядов. Question: Была ли Сюзанна Чун Оакленд членом верхней или нижней палаты Законодательного собрания штата Гавайи?|Верхней палаты|нижняя палата|0.8766717|1.0|0.0|0.0|1.0|0.0
10|"Context: Джудит ""Джуди"" Кранц (в девичестве Тарчер) (родилась 9 января 1928 года) — американская писательница еврейского происхождения, пишущая в жанре любовного романа. Среди её произведений ""Мелочи"", ""Принцесса Дейзи"" и ""Пока мы снова не встретимся"". «Манхэттен — мой!» — это американский телевизионный мини-сериал 1987 года, адаптированный по одноименному роману Джудит Кранц. Показанный на канале CBS, он рассказывает историю богатой семьи Амбервиллей, которая управляет собственным издательским домом в Нью-Йорке. После смерти Зака Амбервилля, патриарха семьи, компанию захватывает его беспринципный брат Каттер. Дети Зака, особенно его энергичная и умная дочь Макси, начинают борьбу за возвращение контроля над компанией отца. Question: Какой жанр писал писатель, чей роман был основан на произведении «Я возьму Манхэттен»?"|Romance|жанр романтики|0.8301094|1.0|0.0|0.0|5.0|1.0
