|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from German to English: ""Du willst den Hai ablenken?"""|"""Do you want to distract the shark?"""|Distract the shark?|0.86471254|1.0|0.6|1.0|5.0|1.0
1|"Translate the following from German to English: ""Posted: 19. April 2003, 15:33 by theDon"""|Posted: April 1|by theDon » 19. April 2003, 15:33|0.54185903|0.0|0.2|0.0|1.0|0.0
2|"Translate the following from German to English: ""Alle kommen gleichzeitig."""||They're all here at once.|0.48383394|0.0|0.0|0.0|5.0|1.0
3|"Translate the following from German to English: ""neue Sprachen: CZ, SL"""|New languages: CZ, SL|new languages: CZ, SL|0.98705894|1.0|1.0|1.0|5.0|1.0
4|"Translate the following from German to English: ""Allerdings entwickeln einzelne Otter individuelle Vorlieben und spezialisieren sich auf bis zu drei verschiedene Beutetiere."""|However, individual otters develop personal preferences and specialize in up to three different prey|This pouch also holds a rock, unique to the otter, that is used to break open shellfish and clams.|0.55265176|0.0|0.12121212121212122|0.0|1.0|0.0
5|"Translate the following from German to English: ""Immer dieselbe Nummer im selben Hotel."""|Always|Always the same hotel, the same fuck.|0.6713913|0.0|0.25|0.0|1.0|0.0
6|"Translate the following from German to English: ""Botschaft, 25. September 1990"""|Message, September 25, 1990|Medjugorje Message, September 25, 1990|0.79120606|1.0|0.888888888888889|1.0|5.0|1.0
7|"Translate the following from German to English: ""Links der Woche (33-34/2015) (13.8.)"""|Weekly Links (Weeks 33-34/2015) (August|On August 13… 2007-08-13 (1)|0.44362003|0.0|0.14285714285714285|0.0|1.0|0.0
8|"Translate the following from German to English: ""stärken"""|strengthen|do you strengthen ?|0.8030485|1.0|0.5|0.0|1.0|0.0
9|"Translate the following from German to English: ""Tut mir leid, mein Mann ist nicht da."""||Sorry, my husband is not there.|0.36122683|0.0|0.0|0.0|4.0|1.0
10|"Translate the following from German to English: ""Gewicht: 1.140 g (USt: 7%) 10,00 € * 10,00 €"""|Weight: 1.140 g (VAT: 7%) 10.00|weight: 870 g (tax: 7%) 10.00 € * 10.00 €|0.7916188|1.0|0.5882352941176471|1.0|2.0|0.0
11|"Translate the following from German to English: ""Apartment A-9037-h (4+1)"""|Apartment A-9037-h|Apartment A-7696-a (2+3)|0.85483587|1.0|0.4|0.0|1.0|0.0
12|"Translate the following from German to English: ""Du bist der Chief."""|You are the Chief.|- You're the chief.|0.9212103|1.0|0.75|1.0|5.0|1.0
13|"Translate the following from German to English: ""Und wenn diejenigen, die ungläubig sind, dich sehen, nehmen sie dich nur zum Gegenstand des Spottes: «Ist das der, der über eure Götter spricht?»"""||"When those who deny the truth see you, they laugh at you, saying, ""Is this the one who talks of your deities?"""|0.3372848|0.0|0.0|0.0|4.0|1.0
