|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from German to English: ""Du willst den Hai ablenken?"""|</answer|Distract the shark?|0.5633484|0.0|0.0|0.0|3.0|0.0
1|"Translate the following from German to English: ""Posted: 19. April 2003, 15:33 by theDon"""|Posted: April 19, 2003, 15:33 by theDon|by theDon » 19. April 2003, 15:33|0.85640264|1.0|0.5333333333333333|1.0|1.0|0.0
2|"Translate the following from German to English: ""Alle kommen gleichzeitig."""|"""Everyone comes at the same time."""|They're all here at once.|0.8312898|1.0|0.16666666666666666|0.0|5.0|1.0
3|"Translate the following from German to English: ""neue Sprachen: CZ, SL"""|new languages: CZ, SL|new languages: CZ, SL|0.99486727|1.0|1.0|1.0|5.0|1.0
4|"Translate the following from German to English: ""Allerdings entwickeln einzelne Otter individuelle Vorlieben und spezialisieren sich auf bis zu drei verschiedene Beutetiere."""||This pouch also holds a rock, unique to the otter, that is used to break open shellfish and clams.|0.34886178|0.0|0.0|0.0|1.0|0.0
5|"Translate the following from German to English: ""Immer dieselbe Nummer im selben Hotel."""||Always the same hotel, the same fuck.|0.44771305|0.0|0.0|0.0|1.0|0.0
6|"Translate the following from German to English: ""Botschaft, 25. September 1990"""|Message, September 25, 199|Medjugorje Message, September 25, 1990|0.7279094|1.0|0.6666666666666665|1.0|5.0|1.0
7|"Translate the following from German to English: ""Links der Woche (33-34/2015) (13.8.)"""|"""Left of the week"|On August 13… 2007-08-13 (1)|0.47542426|0.0|0.0|0.0|1.0|0.0
8|"Translate the following from German to English: ""stärken"""||do you strengthen ?|0.5231595|0.0|0.0|0.0|1.0|0.0
9|"Translate the following from German to English: ""Tut mir leid, mein Mann ist nicht da."""|"""I'm sorry, my husband is not available."""|Sorry, my husband is not there.|0.89043117|1.0|0.7142857142857143|1.0|4.0|1.0
10|"Translate the following from German to English: ""Gewicht: 1.140 g (USt: 7%) 10,00 € * 10,00 €"""|Weight: 1.140 g (|weight: 870 g (tax: 7%) 10.00 € * 10.00 €|0.64516956|0.0|0.30769230769230765|0.0|2.0|0.0
11|"Translate the following from German to English: ""Apartment A-9037-h (4+1)"""|"""Apartment A-9037"|Apartment A-7696-a (2+3)|0.8192369|1.0|0.4444444444444444|0.0|1.0|0.0
12|"Translate the following from German to English: ""Du bist der Chief."""|You are the Chief.|- You're the chief.|0.9222506|1.0|0.75|1.0|5.0|1.0
13|"Translate the following from German to English: ""Und wenn diejenigen, die ungläubig sind, dich sehen, nehmen sie dich nur zum Gegenstand des Spottes: «Ist das der, der über eure Götter spricht?»"""||"When those who deny the truth see you, they laugh at you, saying, ""Is this the one who talks of your deities?"""|0.33879438|0.0|0.0|0.0|4.0|1.0
14|"Translate the following from German to English: ""Auf Einladung der Designhochschule Elisava hält Harri einen interdisziplinären Workshop in Barcelona. Die Studierenden kommen aus den Fachrichtungen Grafikdesign, Innenarchitektur, Industriedesign und Ingenieurswesen."""||Invited by the design school Elisava Harri holds an interdisciplinary three-day workshop in Barcelona. The participants are studying graphic design, interior design, industrial design or engineering.|0.43993565|0.0|0.0|0.0|4.0|1.0
15|"Translate the following from German to English: ""Nach Auskunft von 140 bei uns organisierten Unternehmen werden in den kommenden Jahren rund 15.000 Bus- oder Triebfahrzeugführer gesucht“, sagte Henke. „Der demografische Wandel trifft die Verkehrsunternehmen mit voller Wucht: Der VDV hofft, dass Schienenjobs eine große Strahlkraft entwickelt.“"""|"According to information from 140 companies we organized, about 15,000 bus or train drivers are being sought in the coming years,"" Henke said. ""The demographic change hits the transport companies with full force: The VDV hopes that rail jobs will become a strong magnet."""|According to the 140 companies that we represent, we will be looking for around 15,000 bus and train drivers in the coming years,” said Henke. “The demographic changes are having a major impact on the transport companies. The VDV is hoping that the Schienenjobs portal will prove to be very appealing.”|0.959944|1.0|0.5360824742268041|1.0|4.0|1.0
16|"Translate the following from German to English: ""Der, der dich zum Gackern gebracht hat? Und Eierlegen?"""|"""The one"|Same one made you cluck like a chook... then lay an egg?|0.6134997|0.0|0.14285714285714285|0.0|5.0|1.0
17|"Translate the following from German to English: ""Bewölkung (%) 9 6 16 29 47 31 29 27 30 27 26 21 - - - - - - - -"""|Cloud cover (%) 9 6 16 29 47 31 29 27 30 27 26 21 - - - - - - - -|Cloud cover (%) 9 6 16 29 47 31 29 27 30 27 26 21 - - - - - - - -|0.9961627|1.0|1.0|1.0|5.0|1.0
18|"Translate the following from German to English: ""« Reply #9 on: February 22, 2014, 11:33:03 PM »"""|"""Reply #9 on"|« Reply #61 on: March 17, 2014, 06:47:41 AM »|0.5552999|0.0|0.30769230769230765|0.0|1.0|0.0
19|"Translate the following from German to English: ""- Scudder."""|</|- Scudder.|0.48317617|0.0|0.0|0.0|1.0|0.0
20|"Translate the following from German to English: ""1 05/13/2016 Friday 1"""|1 May|1 07/21/2016 Thursday 1|0.49382153|0.0|0.25|0.0|1.0|0.0
21|"Translate the following from German to English: ""In einer Minute beginnt die Wirkung und sie wird eine halbe Stunde halluzinieren."""|In one minute, the effect begins and they will hallucinate for half an hour.|It takes effect in about a minute and she'll trip out for about half an hour.|0.8415377|1.0|0.45161290322580644|0.0|4.0|1.0
22|"Translate the following from German to English: ""Wenn du ihnen das Porto überweist ..."""|</|Wenn du ihnen das Porto überweist ...|0.3981305|0.0|0.0|0.0|1.0|0.0
23|"Translate the following from German to English: ""Es tut mir leid."""||It's just I'm really excited, and Monica Tenez is my idol, and it's my first day.|0.35108736|0.0|0.0|0.0|1.0|0.0
24|"Translate the following from German to English: ""Hören Sie auf das Evangelium der Erlösung und werden Sie von all ihren Sünden erlöst. Sonst werden Sie in der Hölle brennen."""|Listen to the Gospel of Salvation and be delivered from all your sins. Otherwise, you will burn in hell.|Listen to the true gospel of redemption and be delivered from all sin. Otherwise, you will burn in hell.|0.94186366|1.0|0.8947368421052632|1.0|4.0|1.0
