|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|Esta pergunta se refere às seguintes informações. A cidade de Gana consiste em duas cidades. Uma é habitada por mulçumanos e tem doze mesquitas, imãs e muezins assalariados, e juristas e acadêmicos. Nos arredores há poços com água doce, da qual eles bebem e com a qual plantam vegetais. . . . Os intérpretes do rei, o oficial encarregado de seu tesouro e a maioria dos ministros dão muçulmanos. Somente a realeza pode vestir roupas costuradas. Todas as outras pessoas vestem robes de algodão, seda, ou brocado, de acordo com seus meios. . . . O rei se adorna como uma mulher, vestindo colares ao redor do pescoço e braceletes nos antebraços. . . . Ele se senta. . . em um pavilhão abobadado ao redor do qual estão dez cavalos. Quando as pessoas que professam a mesma religião do rei se aproximam dele, elas se ajoelham e jogam terra em suas cabeças, pois essa é a forma de saudação. Quanto aos muçulmanos, eles saúdam o rei apenas batendo palmas. A religião [das pessoas] é o paganismo e elas adoram ídolos. . . . Quando chega um carregamento de sal ao país, o rei cobra o imposto de um dinar de ouro, e de dois dinares no caso de envio para fora. Para um carregamento de cobre, a parte do rei é cinco meticais, e para um carregamento de outros bens, dez meticais. . . . As pepitas encontradas em todas as minas deste país são reservadas para o rei, com apenas esta poeira de ouro sendo deixada às pessoas. Mas para isso as pessoas acumulariam ouro até que perdesse o valor. Além desse país, há outro chamado Malal, cujo rei era sinceramente vinculado ao islã, enquanto as pessoas comuns desse reino permaneceram politeístas. Desde então, seus governantes receberam o título de al-muçulmano. —The Book of Routes and Realms (O Livro das Rotas e Reinos), de Abu Ubaydallah al-Bakri, historiador e geógrafo muçulmano do século XI Qual é a explicação mais provável para um muçulmano estar encarregado do tesouro de Gana? A: Para facilitar o comércio com os comerciantes predominantemente muçulmanos durante esta era. B: O rei de Gana recentemente havia se convertido ao Islã. C: O comércio e os comerciantes eram considerados tabu na religião pagã tradicional. D: Os reis africanos eram meros vassalos dos califas muçulmanos.|A|A|1.0015882|1.0|1.0|1.0|5|1.0
1|Que fração mostra a razão 3 cães em relação a 5 cães? A: 5 sobre 3 B: 3 sobre 8 C: 2 sobre 5 D: 3 sobre 5|D|D|1.0021142|1.0|1.0|1.0|5|1.0
2|Qual opção descreve a falácia da falsa consolação? A: argumentar contra uma posição com base apenas nos sentimentos pessoais negativos sobre tal posição B: responder a acusações de desonestidade ao dizer que outros fazem ainda pior C: argumentar que alguém não se prejudicou de fato porque as coisas poderiam ser piores ou indicar o que a pessoa deveria agradecer D: ameaçar ao invés de argumentar para chegar a um acordo|C|C|0.99825805|1.0|1.0|1.0|5|1.0
3|Durante o julgamento de paternidade, o advogado da mãe pede que a menina, atualmente com 36 meses, seja exposta com a finalidade de chamar a atenção para certas semelhanças faciais entre a criança e o suposto pai. O advogado do réu se opõe à oferta de apresentação da bebê como prova para comparação. O juiz de primeira instância A: deve permitir que a criança seja exposta como uma forma não questionável de prova demonstrativa. B: não deve permitir que a criança seja exposta, pois esta exposição seria altamente prejudicial ao réu. C: deve permitir que a criança seja exposta como exceção à prova por ouvir dizer de pedigree. D: não deve permitir que a criança seja exposta, pois esta exposição seria de interesse da autora.|B|A|0.8188494|0.0|0.0|0.0|1|0.0
4|"Um homem foi processado pelo alegado assassinato de sua esposa afastada. Em juízo, o governo foi autorizado a apresentar o testemunho da várias mulheres que testemunharam terem tido flertes ou encontros sexuais com o réu ao longo dos últimos 20 anos antes do homicídio. Nenhum depoimento mostrou qualquer tal atividade dentro de três anos antes da data do assassinato, e nenhum mostrou quaisquer tendências à violência do réu ou intenções de que ele queria assassinar sua esposa. O réu tinha um álibi para a hora do crime e apresentou muitas testemunhas para o álibi. O governo alegou que ele estava demonstrando motivação ao provar a tendência do réu para casos extraconjugais ao longo dos anos e que portanto, o seu mau relacionamento com a sua esposa. O júri condenou o homem depois de ouvir o testemunho de 10 mulheres em relação aos vários contatos sexuais do réu com elas ao longo dos anos anteriores. O réu apelou à condenação por assassinato, alegando que o testemunho das mulheres foi prejudicial e inflamatório e que mostrava apenas um mau caráter, o que não é admissível sob as regras de evidências. Qual a probabilidade de o tribunal de recursos reverter a condenação e ordenar um novo julgamento? A: Sim, o julgamento foi injusto ao apresentar o testemunho de mulheres em mais de 20 anteriores; teria sido mais apropriado admitir que tais testemunhos deveria ter sido pelos últimos cinco anos antes do crime. B: Sim, o réu não recebeu um julgamento justo; o testemunho das mulheres apenas demonstrou seu mau caráter, mas como eles eram incidentes antigos não contínuos, eles não permitiram uma inferência permissível que aqueles casos lhe deram um motivo para matar a sua esposa. C: Não, se o testemunho foi admitido por erro, ele foi um erro inofensivo que não mudou o júri de um lado ou outro e portanto, o réu teve um julgamento justo em todos os outros aspectos. D: Não, o testemunho foi admissível porque ele tendeu a mostra um padrão de ""intenção transferida"" que provou a grande hostilidade do réu para com a sua esposa, e a sua necessidade de eliminá-la de sua vida para que ele pudesse voltar a ter uma vida selvagem."|B|B|0.9962005|1.0|1.0|1.0|4|1.0
5|Os estômatos permitem a troca de gases, como H2O e CO2, entre o interior de uma folha de planta e o ambiente circundante. Qual das opções a seguir ocorre em condições ambientais normais durante o dia? A: O H2O difunde para fora da folha mais rápido do que o CO2 entra. B: O H2O difunde para fora da folha mais devagar do que o CO2 entra. C: O CO2 difunde para fora da folha mais rápido do que o H2O entra. D: O H2O é trocado com o CO2 em taxas iguais.|A|A|1.0015882|1.0|1.0|1.0|5|1.0
6|Se o Natal cair em um sábado, então o seguinte Dia de Ano Novo cairá em que dia da semana? A: Domingo B: Segunda-feira C: Sexta-feira D: Sábado|A|D|0.7814165|0.0|0.0|0.0|1|0.0
7|Elementos com orbitais 4f ou 5f parcialmente preenchidos incluem todos os seguintes, EXCETO A: Cu B: Gd C: Eu D: Am|A|A|1.0015882|1.0|1.0|1.0|5|1.0
8|Esta pergunta se refere às seguintes informações. A seguinte citação é de Voltaire, em resposta ao terremoto de Lisboa em 1755. Prezado Senhor, a natureza é muito cruel. Alguém poderia achar difícil imaginar como as leis do movimento causam tais desastres assustadores no melhor dos mundos possíveis. Cem mil formigas, nossas companheiras, todas esmagadas de uma só vez em nosso formigueiro, e metade delas perecendo, sem dúvidas, em indescritível agonia, abaixo dos escombros de onde não puderam ser retiradas. Famílias destruídas por toda a Europa, a sorte de centenas de homens de negócios, seus compatriotas, engolidas nas ruínas de Lisboa. Que jogo miserável é aquele da vida humana! O que os pastores dirão, especialmente se o palácio da Inquisição permanecer de pé? Eu me deleito que ao menos os reverendos padres inquisidores foram esmagados como os outros. Isso deveria ensinar aos homens a não perseguir uns aos outros pois, enquanto alguns santos canalhas queimam alguns fanáticos, a terra engole a tudo e a todos. — Voltaire, em uma carta, 1755 Voltaire é mais bem conhecido por apoiar qual das seguintes demandas dos filósofos do Iluminismo? A: O deísmo deveria ser adotado por todos como a religião lógica. B: A tolerância religiosa leva à destruição da unidade social. C: O ceticismo não é uma forma confiável de examinar as informações. D: A tolerância religiosa deveria ser concedida a todas as pessoas de todas as religiões.|D|D|1.0021142|1.0|1.0|1.0|5|1.0
9|O design de produtos e ambientes para se ajustarem às capacidades das pessoas que os utilizam ou vivem neles é chamado de design _____ A: Ambiental B: Ecológico C: Ergonômico D: Eclético|C|C|0.99825805|1.0|1.0|1.0|5|1.0
