|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from Arabic to English: ""(رفاق (حمد د."""|"""(Friends of Hamad"|- Hammad's colleagues.|0.6933314|0.0|0.0|0.0|3.0|0.0
1|"Translate the following from Arabic to English: ""لم شخص ما ويقول المدافع حلويات؟"""|"""No one says that the defender is sweet?"" </"|Did somebody say confetti cannons?|0.49900085|0.0|0.15384615384615385|0.0|1.0|0.0
2|"Translate the following from Arabic to English: ""يجب أن تساعد فى عملية النُزوح - (فيما عدا (بيجاسوس -"""|"""You should help in the process of displacement - (except for (Pegasus -"""|No Pegasus.|0.5552392|0.0|0.15384615384615385|0.0|1.0|0.0
3|"Translate the following from Arabic to English: ""وتعنى أن القواعد العادية لا تطبق دوماً"""|"""And it means that the usual rules are"|Means the usual rules don't always apply.|0.89260733|1.0|0.5|0.0|3.0|0.0
4|"Translate the following from Arabic to English: ""آه ، أجل بالطبع"""||Ah, yes, of course.|0.49734205|0.0|0.0|0.0|1.0|0.0
5|"Translate the following from Arabic to English: ""إيتوميلنغ كيماني (ليسوتو)"""|"""Itomeling Kimani"|Itumeleng KIMANE (Lesotho)|0.7127902|1.0|0.0|0.0|2.0|0.0
6|"Translate the following from Arabic to English: ""هلا تريني كيف سيبدو شكل 60 ياردة ؟"""||Could you show me what 60 square yards of this would look like?|0.43612847|0.0|0.0|0.0|3.0|0.0
7|"Translate the following from Arabic to English: ""الآنسة (ماثيسون) أهملت أن تقول للمحكمة حقيقة مهمّة"""||Ms. Mathison's neglected to tell the court an important fact.|0.38558963|0.0|0.0|0.0|4.0|1.0
8|"Translate the following from Arabic to English: ""-نعم, يا سيدي ."""||- Yes, sir.|0.49394667|0.0|0.0|0.0|5.0|1.0
9|"Translate the following from Arabic to English: ""وماذا عن المدرسة ؟"""||And what about school?|0.5136796|0.0|0.0|0.0|3.0|0.0
10|"Translate the following from Arabic to English: ""لا افعلها ظاهرياً"""|"""I don't do it just for the sake of being seen by"|I don't do it outwardly.|0.6491676|0.0|0.5263157894736842|1.0|3.0|0.0
11|"Translate the following from Arabic to English: ""لا اعرف عم تتكلمون... ."""||I don't know what you're talking about.|0.44532672|0.0|0.0|0.0|1.0|0.0
12|"Translate the following from Arabic to English: ""أتري ذلك المنزل المتحرك"""||See that RV?|0.51731944|0.0|0.0|0.0|1.0|0.0
13|"Translate the following from Arabic to English: ""لقد نسيت مفاتيحك"""|You have forgotten your key|You forgot your keys.|0.92591846|1.0|0.6666666666666665|1.0|5.0|1.0
