|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from Italian to English: ""Si', ci sono impronte di Amy dappertutto."""||Yes, Amy's fingerprints were all over it.|0.43510616|0.0|0.0|0.0|4.0|1.0
1|"Translate the following from Italian to English: ""Diciamo che la vita ha in serbo... delle svolte inaspettate."""|Let's say|Let's just say life takes some surprising turns.|0.5423551|0.0|0.5|0.0|5.0|1.0
2|"Translate the following from Italian to English: ""Senti... sono andata via da sola o una delle tue stupide amichette è venuta con me?"""||Look, did I leave on my own, or did one of your stupid, little friends come with me?|0.35160208|0.0|0.0|0.0|4.0|1.0
3|"Translate the following from Italian to English: ""Costruzione di caserme, baraccamenti ai posti di frontiera e di altri edifici per le esigenze dell'esercito."""|Construction of barracks, accommodations at border posts, and other buildings for the needs of the army. </answer|Construction of military barracks, border post barracks and other buildings for Army needs.|0.88622886|1.0|0.6666666666666667|1.0|4.0|1.0
4|"Translate the following from Italian to English: ""Ho pensato che Halpert gli avesse rubato l'auto. Qualcosa del genere."""||I think maybe Halpert had stolen his car, something like that.|0.28932023|0.0|0.0|0.0|3.0|0.0
5|"Translate the following from Italian to English: ""Come dorme la notte, amico?"""|How does he sleep at night, friend?|How you get to sleep at night, man?|0.8564961|1.0|0.5333333333333333|1.0|2.0|0.0
6|"Translate the following from Italian to English: ""Dopo che non avete condiviso nessun indizio?"""|</answer|After not sharing a single lead?|0.56394064|0.0|0.0|0.0|4.0|1.0
7|"Translate the following from Italian to English: ""NT1 monocrazia NT1 oligarchia"""|"""NT"|NT1 monocracy NT1 multiparty system NT1 oligarchy|0.6808098|0.0|0.0|0.0|1.0|0.0
8|"Translate the following from Italian to English: ""Nel frattempo, diamo un'occhiata a un film precedente, Trafalgar."""|In the meantime, let's take a look at a previous film, Trafalgar.|WELL, WHILE WE'RE DOING THAT, UH... PERHAPS WE COULD HAVE A LOOK AT AN EARLIER FILM, TRAFALGAR.|0.8654592|1.0|0.3225806451612903|0.0|4.0|1.0
9|"Translate the following from Italian to English: ""1992:la Commissione adotta un Libro bianco sullo sviluppo futuro della politica comune dei trasporti."""||1992:The Commission adopted a White Paper on the future development of the common transport policy.|0.30001634|0.0|0.0|0.0|5.0|1.0
10|"Translate the following from Italian to English: ""– Signor Presidente, inizierò il mio intervento ringraziando i deputati per i loro commenti e le loro osservazioni."""|Mr. President, I will begin|. Mr President, I wish to begin by thanking Members for their comments and observations.|0.629021|0.0|0.4210526315789473|0.0|4.0|1.0
11|"Translate the following from Italian to English: ""Consentitemi quindi di dirvi che la relazione dell’ onorevole Riis-Jørgensen rappresenta un passo verso una modalità razionale per tassare gli autoveicoli e proteggere l’ ambiente."""|Allow me therefore|Let me tell you, then, that the Riis-Jørgensen report is a step towards a rational way of taxing motor vehicles and protecting the environment.|0.3382514|0.0|0.06896551724137931|0.0|4.0|1.0
12|"Translate the following from Italian to English: ""June Harris stava dicendo la verita'."""|June Harris was telling|June Harris was telling the truth.|0.8576144|1.0|0.8|1.0|5.0|1.0
13|"Translate the following from Italian to English: ""Semplicemente immaginate la mente come un'entità non locale e il cervello ""unicamente"" come il suo apparato ricettivo, come un apparecchio radio o una televisione."""||"Simply imagine the mind as a non-local entity and the brain ""uniquely"" as the reception apparatus for it, like a radio or a TV set. It is quite clear - and anyone would be silly to assume - that for example a small big-band is inside the radio set playing the music."|0.35860476|0.0|0.0|0.0|4.0|1.0
14|"Translate the following from Italian to English: ""WR 104 e' quella che si definisce una stella di Wolf-Rayet."""||WR 104 is what's known as a Wolf-Rayet star.|0.3382198|0.0|0.0|0.0|5.0|1.0
15|"Translate the following from Italian to English: ""Conoscevo la ragazza, in piu' ci sono i sedativi."""|I knew the girl, in addition, there are the sedatives. </|If I knew the girl, plus the sedatives.|0.9036994|1.0|0.6666666666666665|1.0|2.0|0.0
16|"Translate the following from Italian to English: ""Puo' aiutarci?"""|Can you help us?|She can help out?|0.7933055|1.0|0.5|0.0|2.0|0.0
17|"Translate the following from Italian to English: ""Megastar in un'esposizione di TV rumena con l'obiettivo per trovare le varie stelle aumentanti con i talenti straordinari di canto. Tuttavia, alcuni dei concorrenti sembrano avere molti talenti. ma cantare non è definitivamente un di loro."""|"""Megastar in a Romanian TV exhibition with the aim of finding various rising stars with extraordinary singing talents. However, some of the contestants seem to have many talents, but singing is definitely not one of them"|Megastar in a Romanian TV show with the goal to find various rising stars with extraordinary singing talents. However, some of the contestants seems to have many talents .. but singing is definitely not one of them.|0.93945384|1.0|0.9166666666666666|1.0|4.0|1.0
18|"Translate the following from Italian to English: ""Lasci che l'aiuti a fare prima."""|Let|Well, let me get you there a little quicker.|0.5104036|0.0|0.19999999999999998|0.0|1.0|0.0
19|"Translate the following from Italian to English: ""Direi che ha circa 20 anni prima della calvizie."""||I'd say he's about 20 years from male pattern baldness.|0.36101863|0.0|0.0|0.0|2.0|0.0
20|"Translate the following from Italian to English: ""Centoquarantasette."""|One hundred forty-seven|$147. Bam.|0.71343726|1.0|0.0|0.0|1.0|0.0
21|"Translate the following from Italian to English: ""Inoltre, collabora con l’AIEA (Agenzia internazionaleper l’energia atomica) nell’analisi dei campioni prelevati durantele ispezioni nel quadro dei programmi di non proliferazione,nonché nell’elaborazione e nell’attuazione di tecniche disorveglianza per la salvaguardia nucleare."""||It also supports the IAEA (International Atomic Energy Agency) in the analysis of samples of material takenduring inspection missions in the framework of nonproliferation, and in the development and implementation ofnuclear safeguard surveillance techniques.|0.3680821|0.0|0.0|0.0|4.0|1.0
22|"Translate the following from Italian to English: ""Togliamoci la puzza di questo posto."""|Let's get rid of the foul smell of this place.|Let's go blow the stink off this place.|0.87864554|1.0|0.5|0.0|2.0|0.0
23|"Translate the following from Italian to English: ""Sei incompleto e pensi che questo ti aggiustera'."""|You are incomplete and you think|You're broken, and you think what you're doing's gonna fix it.|0.68858993|0.0|0.4|0.0|4.0|1.0
24|"Translate the following from Italian to English: ""Signor Ümit Halûk BAYÜLKEN Ministro degli affari esteri"""|Mr|Mr Ümit Halûk BAYÜLKEN, Minister for Foreign Affairs;|0.34564173|0.0|0.18181818181818182|0.0|5.0|1.0
25|"Translate the following from Italian to English: ""- Di sopra, subito!"""|"""Upstairs, immediately!"""|Upsters.|0.63034374|0.0|0.0|0.0|1.0|0.0
26|"Translate the following from Italian to English: ""14 Ma se non mi date ascolto e se non mettete in pratica tutti questi comandamenti,"""|But if you do not listen to me and do not carry out all these commands,|14 But if ye hearken not unto me, and do not all these commandments,|0.8774996|1.0|0.6666666666666666|1.0|4.0|1.0
27|"Translate the following from Italian to English: ""- Come è stato?"""|How was|- How was it'?|0.8395063|1.0|0.8|1.0|5.0|1.0
28|"Translate the following from Italian to English: ""Ehi, come stai?"""|Hey, how are you?|Hey, how you holding up? I'm fine.|0.81454283|1.0|0.5|0.0|3.0|0.0
29|"Translate the following from Italian to English: ""- mi ha creduto un agente."""|believed me to be an agent.|She assumed I was an agent.|0.8515797|1.0|0.3333333333333333|0.0|4.0|1.0
30|"Translate the following from Italian to English: ""Scultura: le dimensioni devono essere comprese tra un minimo di 50 cm e un massimo di 200cm (esclusi supporti), non coi sono limitazioni né per il peso né per il volume, tuttavia l artista è tenuto ad informare l organizzazione nel caso in cui l opera superasse i 200kg."""|Sculpture: the dimensions must be between a minimum of 50 cm and a maximum of 200 cm (excluding supports), there are no limitations for weight or volume, however, the artist is required to inform the organization if the work exceeds 200 kg.|Sculpture: The dimensions: minimum 50 cm and the max in 200 cm (without plinth or support), no limitation neither weight nor volume, but the artist will inform to the organization if the artwork will weigh more 200 kg. The artist can submit to both section, but a single artwork will be accepted|0.95014024|1.0|0.4893617021276596|0.0|4.0|1.0
31|"Translate the following from Italian to English: ""Apparteniamo a mondi diversi."""|We belong to different worlds.|We're from different worlds.|0.97931194|1.0|0.6|1.0|4.0|1.0
32|"Translate the following from Italian to English: ""Invece di competere con le macchine, dobbiamo imparare a competere insieme a loro."""|Instead of competing|Instead of racing against the machine, we need to learn to race with the machine.|0.57317317|0.0|0.2222222222222222|0.0|3.0|0.0
33|"Translate the following from Italian to English: ""Vogliamo solo essere sicuri che sia tutto a posto."""|We just want to make sure that everything is okay.|We're just makin' sure everything's okay.|0.954107|1.0|0.5555555555555556|1.0|5.0|1.0
34|"Translate the following from Italian to English: ""Prodotto unico nel settore."""|Unique product in the sector.|Unique product in the industry.|0.9480335|1.0|0.8000000000000002|1.0|4.0|1.0
35|"Translate the following from Italian to English: ""rifiuti di ferro e acciaio"""|Steel and iron waste|iron and steel waste|0.9643003|1.0|0.5|0.0|4.0|1.0
36|"Translate the following from Italian to English: ""Si chiama Marxismo, amico."""""|It's called Marxism, friend.|This is called Marxism, buddy.]|0.9380039|1.0|0.4000000000000001|0.0|4.0|1.0
37|"Translate the following from Italian to English: ""Rifiutarsi di credere che abbia un lato oscuro, ma... tutto quello che abbiamo fatto, tutte le prove... puntano comunque al Sergente Doakes."""|Refusing to believe that he has a dark side,|To refuse to believe that they have a dark side... but everything we've done, all the evidence... it still points to Sergeant Doakes.|0.6444851|0.0|0.42424242424242425|0.0|4.0|1.0
38|"Translate the following from Italian to English: ""Trent Callender, cliccatissimo su internet e la prima del suo ultimo film, 'Ravangers 2'. Da una settimana la domanda e': Il comportamento di Nikki fuori dal set mettera' a repentaglio il box office?"""|Trent Callender, the most clicked on the internet and the first of his latest film, 'Ravangers 2'. For a week, the question|Trent Callender burning up the internet and the premier of her new film, Ravagers II... barely a week away, the question is... will Nikki's off-screen exploits threaten the box office opening?|0.7312341|1.0|0.43636363636363634|0.0|4.0|1.0
39|"Translate the following from Italian to English: ""Non sarebbe durata a lungo, in un modo o nell'altro, intendo con la scuola, ancora un paio di mesi, poi lui se ne sarebbe andato, ce ne saremmo andati tutti insieme."""|It wouldn't have lasted long, one way or another, I mean with school, just a couple more|And yet, in any case, it wouldn't have gone on much longer, school, I mean, just a few more months and he'd have been out, we'd all have been out together.|0.83318233|1.0|0.3461538461538462|0.0|4.0|1.0
