|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Context: Michael Patrick Smith, {'1': "", '2': "", '3': "", '4': ""} (born 19 January 1942), known as Michael Crawford, is an English actor, comedian and singer. He has received great critical acclaim and won numerous awards during his career, which covers radio, television, film, and stagework on both London's West End and on Broadway in New York City. Chalk and Cheese was a short lived sitcom television show, featuring Michael Crawford and Robin Hawdon. Question: Which English actor, comedian and singer is featured in Chalk and Cheese?"|Michael Crawford|Michael Patrick Smith|0.7689179|1.0|0.4|0.0|1|0.0
1|"Context: In the middle of 1984 a Brazilian company called Prológica, which made its own versions of 8 bits US computers, brought to the Brazilian market a new equipment for its personal computer series called ""CP"" (shorten of Personal Computer in Portuguese). The Atari ST is a line of home computers from Atari Corporation and the successor to the Atari 8-bit family. The initial ST model, the 520ST, saw limited release in April-June 1985 and was widely available in July. The Atari ST is the first personal computer to come with a bitmapped color GUI, using a version of Digital Research's GEM released in February 1985. The 1040ST, released in 1986, is the first personal computer to ship with a megabyte of RAM in the base configuration and also the first with a cost-per-kilobyte of less than US$1. Question: Are Prológica CP-400 and Atari ST both personal computers?"|Yes|yes|0.9333949|1.0|1.0|1.0|5|1.0
2|Context: The Cheshire Association Football League is a football competition based in Cheshire, England, which until 2007 was known as the Mid-Cheshire Association Football League. From season 2017–18, the league operates four divisions: the Premier Division, Divisions One and Two, and a Reserve Division. Founded in 1948, only one club (Knutsford) have maintained continuous membership since the formation of the league. Two other founder members have only recently left the league - Whitchurch Alport in 2012 and Barnton in the summer of 2014 . Ashton Town Association Football Club is a football club based in Ashton-in-Makerfield, Greater Manchester, England. The club are currently members of the Cheshire League Premier Division and play at Edge Green Street, one mile north-east of the town centre. Question: Which of the 2017-18 Cheshire League divisions is Ashton Town Association Football Club currently a member?|Premier Division|Premier Division|1.0042874|1.0|1.0|1.0|5|1.0
3|"Context: Virginia Ruzici (born 31 January 1955) is a former professional tennis player from Romania. She won the 1978 French Open singles championship. Sir Andrew Barron Murray, {'1': "", '2': "", '3': "", '4': ""} (born 15 May 1987) is a British professional tennis player from Scotland currently ranked world no. 3 in men's singles. Murray represents Great Britain in his sporting activities and is a three-time Grand Slam tournament winner, two-time Olympic champion, Davis Cup champion and the winner of the 2016 ATP World Tour Finals. Question: In which sport does both Virginia Ruzici and Andy Murray participate?"|Tennis|professional tennis player|0.77598876|1.0|0.5|0.0|1|0.0
4|Context: William King (February 9, 1768June 17, 1852) was an American merchant, shipbuilder, army officer, and statesman from Bath, Maine. A proponent of statehood for Maine, he became its first governor when it separated from Massachusetts in 1820. The 1820 Maine gubernatorial election took place on April 3, 1820. It was the first election for Governor of Maine, taking place after Maine separated from Massachusetts and was recognized as a state on March 15, 1820. Maine's separation from Massachusetts came as a result of The Missouri Compromise. This election saw the virtually unanimous election of William King, the man most chiefly responsible for the push for Maine statehood. He had no opponents. Question: Where was the first governor after the The Missouri Compromise from?|Bath, Maine </|Bath, Maine|0.7034888|1.0|1.0|1.0|5|1.0
5|Context: Pago Pago International Airport (IATA: PPG, ICAO: NSTU, FAA LID: PPG) , also known as Tafuna Airport, is a public airport located 7 miles (11.3 km) southwest of the central business district of Pago Pago, in the village and plains of Tafuna on the island of Tutuila in American Samoa, an unincorporated territory of the United States. Chattanooga Metropolitan Airport (IATA: CHA, ICAO: KCHA, FAA LID: CHA) , also known as Lovell Field, is a public airport located five miles (8 km) east of the central business district of Chattanooga, a city in Hamilton County, Tennessee, United States. The airport is owned and operated by the Chattanooga Metropolitan Airport Authority. It is a Class C airport serviced by Chattanooga Approach. Question: Which airport Pago Pago International Airport or Chattanooga Metropolitan Airport is closer to the central business district of their local community ?|Chattanooga|Chattanooga Metropolitan Airport|0.87855023|1.0|0.5|0.0|1|0.0
6|"Context: The Schweizerischer Niederlaufhund (FCI No, 60) (translated into English as the Small Swiss Hound, is a breed of dog of the scenthound type from Switzerland. ""Niederlaufhund"" means short-legged hound. The breed has a number of different varieties (all of the same breed). The Portuguese Podengo is an ancient multi-sensory hound (sight and scent) breed of dog from Portugal. As a breed, the Podengo is divided into three size categories that are not interbred: small (Pequeno), medium (Medio) and large (Grande). Their coats are either short and 'smooth', or longer and 'wired'. The smooth coated variety is traditional, dating back to the 5th century, whereas the wire coated variety is an outcome of the assimilation of various other breeds during the 20th century. In general, the breed is healthy; the Pequeno (small) variety has an average lifespan of approximately 15–17 years. Question: Are both Schweizerischer Niederlaufhund and Portuguese Podengo dog breeds from Portugal?"|No|no|0.95452935|1.0|1.0|1.0|5|1.0
7|"Context: Velvetpark: Dyke Culture in Bloom is a lesbian and feminist arts and culture website that regularly features music, literature, theater, fine arts, film, television, and social activism as it impacts queer culture. ""Velvetpark"" also hosts a social network and dating community for lesbians and queer-identified women. Shape is a monthly English language fitness magazine started by Weider Publications in 1981, founded by Christine MacIntyre (a pioneer in women's free weight fitness) and became the number one women's fitness magazine. At that time, Weider Enterprises consisted primarily of the bodybuilding magazine ""Muscle & Fitness"". Joe Weider and Christine MacIntyre had differing views of how to present ""Shape"", Weider endorsing a less journalistic and more commercial approach to articles, MacIntyre endorsing a more academic, doctor-based magazine. Weider also endorsed a sexier approach to editorial while MacIntyre endorsed a healthier look for women, eschewing sexiness in the models and the copy. MacIntyre largely won that battle, editing a magazine that required that every byline have an advanced medical degree, that cover models should look healthy rather than sexy, and that sexist language be avoided. Christine MacIntyre was the editor-in-chief until her death in 1988. Tara Kraft is the current editor-in-chief. ""Shape"" found a readership based on that formula. Question: Is Velvetpark or Shape magazine written more for a lesbian and queer-identified female readership?"|Velvetpark|Velvetpark|0.9958707|1.0|1.0|1.0|5|1.0
8|"Context: Jack Thomas Chick (April 13, 1924 – October 23, 2016) was an American cartoonist and publisher, best known for his evangelical fundamentalist Christian ""Chick tracts"", which presented his perspective on a variety of issues through sequential-art morality plays. Fred Carter (born June 22, 1938) is an American artist known for his work for Jack Chick's tracts since 1972. Question: Who was an American cartoonist and publisher who had Fred Carter working for him?"|Jack Chick|Jack Chick|0.9995051|1.0|1.0|1.0|5|1.0
9|Context: The Hawaiʻi State Senate is the upper chamber of the Hawaii State Legislature. The senate consists of twenty-five members elected from an equal number of constituent districts across the islands. The senate is led by the President of the Senate, elected from the membership of the body, currently Ron Kouchi. The forerunner of the Hawaii State Senate during the government of the Kingdom of Hawaiʻ i was the House of Nobles originated in 1840. In 1894 the Constitution of the Republic of Hawaii renamed the upper house the present senate. Senators are elected to four-year terms and are not subject to term limits. Like most state legislatures in the United States, the Hawaii State Senate is a part-time body and senators often have active careers outside government. The lower chamber of the legislature is the Hawaiʻi House of Representatives. The membership of the Senate also elects additional officers to include the Senate Vice President, Senate Chief Clerk, Assistant Chief Clerk, Senate Sergeant at Arms and Assistant Sergeant at Arms. Suzanne N.J. 'Susie' Chun Oakland is a Democratic member of the Hawaii Senate, representing the 13th District since 1996. Previously she was a member of the Hawaii House of Representatives from 1990-96. She is generally considered to have liberal political views. Question: Was Suzanne Chun Oakland a member of the upper of lower chamber of the Hawaii State Legislature?|Both|lower chamber|0.6137082|0.0|0.0|0.0|1|0.0
