|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|Ein CPA wurde von einem ehemaligen Prüfungsmandanten gebeten, den Bestätigungsvermerk für den vorangegangenen Zeitraum neu herauszugeben. Vor der erneuten Erteilung des Bestätigungsvermerks sollte der CPA A: eine Vollständigkeitserklärung der Geschäftsleitung des ehemaligen Mandanten einholen; B: sich beim Anwalt des ehemaligen Mandanten nach anhängigen Rechtsstreitigkeiten erkundigen; C: die Aufzeichnungen des ehemaligen Mandanten prüfen, um die Einhaltung der Schulden- und Darlehensvereinbarungen zu verifizieren; D: erwägen, ob erhebliche Zweifel an der Fähigkeit des ehemaligen Mandanten zur Fortführung des Unternehmens bestehen.|D|A|0.7776377|0.0|0.0|0.0|1.0|0.0
1|Finde die genaue Antwort: 110 + 70 A: 18 B: 81 C: 180 D: 810|180|C|0.59015775|0.0|0.0|0.0|3.0|0.0
2|Der Einfluss des Neo-Malthusianismus zeigt sich in A: staatlichen Programmen zur Geburtenkontrolle und -planung. B: Hungersnothilfen. C: der Erhöhung der Ausgaben für Sozialhilfeprogramme. D: erhöhten Gesamtfruchtbarkeitsraten.|A|A|1.0015882|1.0|1.0|1.0|5.0|1.0
3|Eine Tanzschülerin arbeitete sehr hart, um ihre Beine zu stärken, und führte zusätzliche Aktivitäten wie Springen und Hüpfen über mehrere Treppenstufen in ihrem Wohnhaus durch. Während sie ihre Übungen durchführte, warnte einer der Hausmeister des Gebäudes sie, dass „sie sich zwangsläufig verletzen würde, wenn sie so weitermacht, denn es gibt Probleme mit dem Fußboden“. Nachdem sie gestürzt war und sich aufgrund einer losen Bodendiele ein Bein gebrochen hatte, erhob sie Klage gegen den Gebäudeeigentümer. Der Gebäudeeigentümer will bezeugen, dass: „Der Hausmeister hat mir gesagt: 'Ich habe ihr gesagt, dass es gefährlich ist, zu schnell zu laufen, und dass sie sich zwangsläufig verletzen würde.'“. Wird die Aussage des Hauseigentümers wahrscheinlich als zulässig erachtet? A: Ja, denn es handelt sich um eine Ausnahme vom Hörensagen wie eine spontane Erklärung gegenüber einer Gegenpartei. B: Ja, denn der Gebäudeeigentümer kann aussagen und dazu befragt werden, was der Hausmeister ihm gesagt hat. C: Nein, denn es ist irrelevant und unerheblich. D: Nein, denn es handelt sich um Hörensagen innerhalb von Hörensagen, und es gibt keine Ausnahmen vom Hörensagen, die gelten.|A|D|0.7814165|0.0|0.0|0.0|1.0|0.0
4|Ein 12-jähriger Junge beschloss, einen Streich zu spielen. Da er wusste, dass seine Eltern an diesem Abend eine Dinnerparty gaben, füllte der Junge einen Eimer mit eiskaltem Wasser und stellte ihn auf die teilweise geöffnete Tür des Gästezimmers, in der Annahme, sein Vater würde die Mäntel der Gäste dorthin bringen, um sie auf das Bett zu legen. Dann ging der Junge zu einem Freund zum Spielen. Der Vater des Jungen beschloss, die Mäntel der Gäste im Flurschrank aufzubewahren, anstatt sie ins Gästezimmer zu legen. Später am Abend ging einer der Gäste auf der Suche nach einem Badezimmer versehentlich in das Gästezimmer. Als der Gast die Tür öffnete, fiel der Eimer herunter und traf ihn am Kopf, wobei er sich eine schwere Schnittwunde zuzog, die mit einem Dutzend Stichen genäht werden musste. Wenn der Gast den Jungen wegen Fahrlässigkeit verklagt, ist das Ergebnis höchstwahrscheinlich, dass A: der Junge gewinnt, weil das Verhalten eines Kindes nicht fahrlässig sein kann. B: der Junge gewinnt, weil der Gast unvernünftigerweise das Risiko auf sich nahm, ein unbekanntes Zimmer zu betreten, anstatt nach dem Weg zur Toilette zu fragen. C: der Junge verliert, weil dieser „Streich“ die Gefahr eines schweren Schadens mit sich brachte und der Junge daher die Pflicht hatte, so viel Sorgfalt wie ein vernünftiger Erwachsener walten zu lassen. D: der Junge verliert, weil er nicht mit der Sorgfalt gehandelt hat, die man von einem 12-jährigen Kind erwarten würde.|C|D|0.7048639|0.0|0.0|0.0|1.0|0.0
5|Bei welchen der folgenden biogeochemischen Kreisläufe gibt es im Allgemeinen keine Gasphase? A: Wasser B: Kohlenstoff C: Schwefel D: Phosphor||D|0.58435076|0.0|0.0|0.0|4.0|1.0
6|Ein Forscher testet die strukturelle Stabilität des folgenden Regressionsmodells:  $y_t = \beta_1 + \beta_2 x_{2t} + \beta_3 x_{3t} + u_t$  Die Gesamtstichprobe von 200 Beobachtungen wird für die Teilstichprobenregressionen genau in zwei Hälften geteilt. Welches wäre die unbeschränkte Residualquadratsumme? A: Die RSS für die gesamte Stichprobe B: Die RSS für die erste Teilstichprobe C: Die RSS für die zweite Teilstichprobe D: Die Summe der RSS für die erste und zweite Teilstichprobe|A|D|0.7814165|0.0|0.0|0.0|1.0|0.0
7|Das Hauptziel der Gramm-Rudman Acts von 1985 und 1987 bestand in A: der Stärkung des Militärs B: der Anhebung der Finanzierung für Sozialprogramme C: der Reduzierung des Staatsdefizits D: der Beschränkung der außenpolitischen Machtbefugnisse des Präsidenten|C|C|0.99825805|1.0|1.0|1.0|5.0|1.0
8|Eine häufig verwendete Grundlage für die Segmentierung von Verbrauchermärkten ist: A: Organisatorische Größe. B: Demografien. C: Produkttyp. D: Preis.|B|B|0.9962005|1.0|1.0|1.0|5.0|1.0
9|Eine 22-jährige Frau kommt in die Notaufnahme, weil sie seit 5 Tagen unter Halsschmerzen und Fieber leidet. In den letzten 3 Tagen hat sich ihre Stimme verändert und das Schlucken wird zunehmend schmerzhafter. Sie nimmt Acetaminophen, seit die Symptome einsetzten. Die Vorgeschichte ist unauffällig und sie nimmt keine anderen Medikamente. Die Vitalparameter sind: Temperatur 40,0°C, Puls 130 Schläge/min, Atemfrequenz 18/min und Blutdruck 102/66 mmHg. Die Pulsoximetrie bei Raumluft zeigt eine Sauerstoffsättigung von 97%. Die Untersuchung des Oropharynx zeigt ein Erythem, Ödem und anteriore Verschiebung der rechten Seite des Gaumensegels. Die Uvula ist nach links verschoben. Auf der rechten Tonsile ist ein weißer Belag erkennbar. Es wird ein Trismus festgestellt. Bei Abtastung des Nackens werden vergrößerte, druckempfindliche, bewegliche anteriore Zervikallymphknoten festgestellt. Was sollte neben einer Behandlung mit Antibiotika auch durchgeführt werden? A: Inzision und Drainage B: Behandlung mit intravenös verabreichtem Methylprednisolon C: Behandlung mit oral verabreichtem Nystatin D: Gurgeln mit Salzwasser|B|A|0.8188494|0.0|0.0|0.0|1.0|0.0
