|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|في الجمهورية، يزعم Thrasymachus أن العدالة هي: A: قول الحقيقة ودفع ديون المرء. B: فعل ما يرضي الآلهة. C: ميزة الأقوى. D: انسجام الروح.|C|C|0.99825805|1.0|1.0|1.0|5.0|1.0
1|الفرد البدين الذي يعاني من اضطراب النوم المرتبط بالتنفس، من المرجح أنه يعاني من: A: النوم القهري B: فرط النوم C: الأرق D: انقطاع النفس أثناء النوم||D|0.58435076|0.0|0.0|0.0|5.0|1.0
2|"في أي من هذين السيناريوهين تقوم الشخصية الرئيسية (التي تستخدم أنا/ضمير المفعول للمتكلم/ضمير الملكية للمتكلم) بفعل شيء خاطئ أخلاقيًا بشكل واضح، وفقًا للمعايير الأخلاقية العادية في الولايات المتحدة اعتبارًا من عام 2020؟ السيناريو 1 | ضربتها في الحفلة. السيناريو 2 | أقفلت الباب عندما سمعت طفلي يطلب السماح له بالدخول. A: خطأ، خطأ B: خطأ، ليس خطأ C: ليس خطأ، خطأ D: ليس خطأ، ليس خطأ"|B|A|0.8188494|0.0|0.0|0.0|1.0|0.0
3|ينتقل الصوت في الهواء عبر سلسلة من A: الانضغاطات B: التخلخلات C: كلاهما D: ليس أيًا منهما|C|C|0.99825805|1.0|1.0|1.0|5.0|1.0
4|أي مما يلي يصف أوراق الفيديراليست بشكل أدق؟ A: برنامج حزب الفيدراليين خلال رئاسة جون آدمز، أول رئيس فيدرالي B: كتيب شعبي معاد للبريطانيين في عصر ما قبل الثورة C: مجموعة من المقالات التي تناقش مزايا الدستور D: سلسلة من القوانين الصادرة عن الكونغرس التي تحدد العلاقة بين الحكومة الفيدرالية وحكومات الولايات|C|C|0.99825805|1.0|1.0|1.0|5.0|1.0
5|"ما الذي ناقشه بول كينيدي في كتابه ""نشوء وسقوط القوى العظمى""؟ A: جميع الاقتصادات الرائدة في العالم كانت تتراجع بسبب انخفاض النمو والتضخم B: لم يعد بإمكان الولايات المتحدة أن تظل قوة عظمى وكانت في حالة تراجع C: القوة الناعمة للولايات المتحدة ستسمح لها بتجنب الانحدار D: المبالغة في صعود اليابان"|B|B|0.9962005|1.0|1.0|1.0|5.0|1.0
6|أوجد الإجابة الدقيقة: 942 / 3 A: 214.0 B: 304.0 C: 314.0 D: 642.0|C|C|0.99825805|1.0|1.0|1.0|5.0|1.0
7|أي فيتامين مطلوب لامتصاص الكالسيوم من الأمعاء الدقيقة؟ A: الفيتامين أ B: الفيتامين د C: الفيتامين هـ D: الفيتامين ك|B|B|0.9962005|1.0|1.0|1.0|5.0|1.0
8|في الحياة الأخلاقية، تكون المشاعر _____. A: ضرورية وحتمية B: ضرورية للنزاهة C: دليل لا يخطئ D: مبنية على سبب|A|A|1.0015882|1.0|1.0|1.0|5.0|1.0
9|ما هو الحد الأدنى من الوقت الذي يجب أن تستمر فيه الإطالة؟ A: 0-10 ثوان. B: 10-30 ثوان. C: 30-50 ثانية. D: 60 ثانية.|B|B|0.9962005|1.0|1.0|1.0|5.0|1.0
10|أي من الأحماض الدهنية الغشائية هي مقدمة للإيكوزانويدات؟ A: الأحماض الدهنية المشبّعة C20 وC22 B: الأحماض الدهنية غير المشبّعة المتعددة C18 وC22 C: الأحماض الدهنية أحادية التشبّع C20 وC22 D: الأحماض الدهنية غير المشبّعة المتعددة C20 وC22|D|D|1.0021142|1.0|1.0|1.0|5.0|1.0
11|من بين علماء الأزواج التاليين، مَن الذي رائد التخصص البيئي المعروف بجغرافيا الجزيرة؟ A: روبرت ماك آرثر و إيو ويلسون B: جيمس واتسون وفرانسيس كريك C: ماتياس شلايدن وتيودور شوان D: ألفريد هيرشي ومارثا تشيس|A|A|1.0015882|1.0|1.0|1.0|5.0|1.0
12|قيمة الارتباط بين الطول بالبوصة والوزن بالرطل لفئة معينة هي 0.65. إذا تم تحويل الأطوال من البوصات إلى السنتيمترات، فما قيمة الارتباط؟ (1 بوصة = 2.54 سم) A: -0.65 B: -0.26 C: 0.1 D: 0.65|D|D|1.0021142|1.0|1.0|1.0|5.0|1.0
13|أي من العبارات التالية صحيحة فيما يتعلق بالبقايا المعيارية (البقايا مقسومة على انحرافاتها المعيارية المشروطة) من نموذج الانحدار الذاتي المعمم المشروط (GARCH) المقدّر؟  1) يُفترض أن يتم توزيعها بصورة طبيعية   2) ستكون مربعاتها مرتبطة بقيمها المربعة المتأخرة إذا كان نموذج الانحدار الذاتي المعمم المشروط (GARCH)  مناسبًا   3) عمليًا، يحتمل أن تكون ذات ذيول سميكة   4) إذا كان نموذج الانحدار الذاتي المعمم المشروط (GARCH) مناسبًا، فستكون البقايا المعيارية والبقايا الأولية  متطابقة A: (2) و(4) فقط B: (1) و(3) فقط C: (1) و(2) و(3) فقط D: (1) و(2) و(3) و(4)|C|B|0.6925551|0.0|0.0|0.0|2.0|0.0
14|فتاة كتلتها m وصبي كتلته 2m يجلسان على جانبين متقابلين من أرجوحة تقع نقطة ارتكازها في المنتصف. في الوقت الحالي، الصبي والفتاة بعيدان بالقدر ذاته عن نقطة الارتكاز، وتميل الأرجوحة ناحية الصبي. أي مما يلي لا يمثل طريقة ممكنة لموازنة الأرجوحة؟ A: تحريك الصبي إلى نصف مسافته الأصلية من نقطة الارتكاز. B: تحريك الفتاة إلى ضعف مسافتها الأصلية من نقطة الارتكاز. C: السماح بفتاة ثانية كتلتها m بالانضمام إلى الفتاة الأولى. D: تحريك نقطة الارتكاز إلى نصف مسافتها الأصلية من الصبي.|D|D|1.0021142|1.0|1.0|1.0|5.0|1.0
15|أي مما يلي يؤدي إلى زيادة دالة إجمالي الطلب؟ A: ارتفاع مستويات البضائع المستوردة B: انخفاض مستويات الثروة الاستهلاكية C: ارتفاع سعر الفائدة الحقيقي D: انخفاض الضرائب المفروضة على الدخل الشخصي|D|D|1.0021142|1.0|1.0|1.0|5.0|1.0
16|""" Ad crumenam "" هو نوع محدد من A: تشبيه خاطئ B: تعميم متسرع C: علامة خاطئة D: استنتاج متسرع"|A|C|0.69704205|0.0|0.0|0.0|1.0|0.0
17|"أُنشِأت وكالة فيدرالية بغرض استقرار ودعم وحماية دخل المزارع وأسعارها. ويحق للوكالة الدخول في وتنفيذ العقود أو الاتفاقيات الضرورية لتسيير أعمالها. أبرمت شركة تصدير عقدًا مع الوكالة الفيدرالية لنقل مجموعة متنوعة من البضائع إلى دول أجنبية. وبعد ذلك قامت الوكالة الفيدرالية بإيقاف شركة التصدير عن العمل على ذمة التحقيق في احتمال إساءة استخدام شهادات الفحص الرسمية المتعلقة بالسلع المصدرة إلى دولة أجنبية. وأثناء التحقيق المتعلق بالتهمة، قدم رئيس شركة التصدير معلومات إلى الوكالة الفيدرالية. وفي وقت لاحق، اتُّهم الرئيس بانتهاك قانون فيدرالي ينص على ما يلي: ""إنها جناية لأي شخص في مسألة تقع ضمن اختصاص وكالة فيدرالية أن يقوم عن عمد بالإدلاء ببيان كاذب"". وفي محاكمة الرئيس، قدمت الحكومة أدلة لإثبات أنه قام بتزوير سندات الشحن واختلاس ما يزيد عن 500 ألف دولار من فائض السلع المخصصة للتصدير. شهد الرئيس بأنه لم يكن يعلم أنه كان يتعامل مع وكالة فيدرالية، وبالتالي، سيكون للحكومة الفيدرالية الولاية القضائية على عقد التصدير الذي أبرمته شركته مع الوكالة الفيدرالية. بالنسبة لأهمية جهل الرئيس، يجب على المحكمة أن تأمر هيئة المحلفين بأنه يمكنها إدانة الرئيس A: إذا وجدت أن الرئيس كان على علم بأنه كان يتعامل مع وكالة فيدرالية. B: إذا وجدت أن الرئيس كان على علم بأنه ربما كان يتعامل مع وكالة فيدرالية. C: إذا كان الشخص العادي من المفترض أن يكون على علم بأنه ربما يتعامل مع وكالة فيدرالية. D: حتى لو لم يكن هناك سبب يدعو الرئيس إلى معرفة أنه كان يتعامل مع وكالة فيدرالية."|C|D|0.7048639|0.0|0.0|0.0|2.0|0.0
18|في آلة التيار مستمر، تم استخدام لف موجي من 6 أقطاب. عدد المسارات المتوازية يكون؟ A: 6.0 B: 4.0 C: 2.0 D: 1.0|C|C|0.99825805|1.0|1.0|1.0|5.0|1.0
