|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from Portuguese to English: ""Penso que isto já durou bastante."""|I think this has lasted|I think this mess has gone on long enough. I gotta tell you.|0.6813673|0.0|0.4444444444444444|0.0|1.0|0.0
1|"Translate the following from Portuguese to English: ""O Frankie Vargas foi atingido."""||Frankie Vargas has been shot.|0.35966337|0.0|0.0|0.0|5.0|1.0
2|"Translate the following from Portuguese to English: ""O fato, é que Deus nunca enviaria um homem para realizar uma obra de poder que fosse necessária, sem antes lhe ensinar o jeito de o Espírito agir sobre ele. Então Sansão sabia muito bem que teria de permanecer sob a cobertura do Espírito da verdade - se mantendo consagrado e se abstendo do mal - a fim de ministrar o poder deste Espírito."""|The fact is, that God would never send a man to accomplish a work of power that was necessary, without first teaching him the way the Spirit acts upon him. So Samson knew very well that he would have to remain under the covering of the Spirit of truth - by staying consecrated and abstaining from evil - in order to|The fact is, God would never send out a man to do a needed work of power without first teaching him the manner in which the Spirit would work upon him. So Samson knew full well he had to stay under the covering of the Spirit of truth - remaining consecrated and abstaining from wickedness - in order to minister the Spirit's power.|0.9549847|1.0|0.7272727272727273|1.0|4.0|1.0
3|"Translate the following from Portuguese to English: ""Agradeço o que esta a tentar fazer, Dra., mas ja tomei a minha decisao."""|I thank you|I appreciate what you're trying to do, Doctor. But my decision is final.|0.5970964|0.0|0.23529411764705882|0.0|4.0|1.0
4|"Translate the following from Portuguese to English: ""De facto sou tipo a tua rapariga ""apoiante""."""|In fact, I'm like your supportive|I'm actually sort of your rally girl.|0.75618845|1.0|0.39999999999999997|0.0|5.0|1.0
5|"Translate the following from Portuguese to English: ""DECISÃO DO CONSELHO E DOS REPRESENTANTES DOS GOVERNOS DOS ESTADOS-MEMBROS DA UNIÃO EUROPEIA, REUNIDOS NO CONSELHO"""|Decision of the Council and of the|DECISION OF THE COUNCIL AND THE REPRESENTATIVES OF THE GOVERNMENTS OF THE MEMBER STATES OF THE EUROPEAN UNION, MEETING WITHIN THE COUNCIL|0.811343|1.0|0.4827586206896552|0.0|4.0|1.0
6|"Translate the following from Portuguese to English: ""Saiam!"""|"""Get out!"""|Get your tools.|0.570767|0.0|0.4|0.0|1.0|0.0
7|"Translate the following from Portuguese to English: ""Foi pessoal."""||He Went To That Park, He Met Someone There, And They Did It.|0.47049838|0.0|0.0|0.0|1.0|0.0
8|"Translate the following from Portuguese to English: ""Porém, a verdade é que é capaz de tais coisas."""|However, the truth is that it is capable of such things. </|Though, the truth is, you're capable of such things.|0.8444047|1.0|0.6666666666666666|1.0|4.0|1.0
9|"Translate the following from Portuguese to English: ""Gene, eu...eu juro para você."""||Gene, I-I-I swear to you.|0.43598282|0.0|0.0|0.0|3.0|0.0
