|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|Según Cutlip (2006), ¿en qué etapa del plan de comunicación debe figurar la planificación de lo que se debe decir y por qué? A: Análisis de la situación B: Estrategia C: Implementación D: La evaluación implica evaluar todos los aspectos del programa.|B|B|0.9962005|1.0|1.0|1.0|4.0|1.0
1|"¿Para cuál de estos dos escenarios el personaje principal (que usa términos como yo/mi/mío) hace algo claramente incorrecto desde el punto de vista de la moral, de acuerdo con los estándares morales ordinarios en los EE. UU. a partir de 2020? Escenario 1 | Como entrenador de caballos, mi trabajo consiste en domarlos. Escenario 2 | Me aseguré de dejar la cáscara de banana, ya que alguien podría tropezar con ella. A: Está mal, Está mal B: Está mal, No está mal C: No está mal, Está mal D: No está mal, No está mal"|B|C|0.6914701|0.0|0.0|0.0|3.0|0.0
2|¿Cuál es el principal objetivo de Pence en su artículo “¿La clonación dañará a las personas?”? A: Usar argumentos consecuencialistas para demostrar que la clonación es inmoral. B: Oponerse a los argumentos consecuencialistas en contra de la clonación. C: Usar la formulación de la humanidad de Kant para demostrar que la clonación es inmoral. D: Usar la formulación de la humanidad de Kant para demostrar que la clonación es moralmente inaceptable.|A|B|0.8212095|0.0|0.0|0.0|1.0|0.0
3|Esta pregunta hace referencia a la siguiente información. ¿Por qué principio de razón, entonces, deben estos extranjeros enviar a cambio una droga venenosa? No queremos decir que los extranjeros tienen intenciones destructivas en sus corazones, sin embargo, afirmamos positivamente que, debido a su desmedida sed de ganancias, son por completo indiferentes a las heridas que nos infligen. Y siendo así, ¿nos gustaría preguntarnos qué ha sido de esa conciencia que el cielo ha implantado en el seno de todos los hombres? Escuchamos que en su propio país el opio está prohibido con el mayor rigor y dureza. Esta es una prueba contundente de que usted sabe muy bien lo perjudicial que es para la humanidad. Ya que no permite que dañe a su propio país, no debe permitir que esta droga dañina llegue a ningún otro país, y sobre todo, mucho menos a tierra interior. De los productos que China exporta a sus países extranjeros, no hay ninguno que no sea beneficioso para la humanidad de una forma u otra. Lin Zexu, comisionado comercial chino, carta a la reina Victoria, 1839 ¿Cuál de los siguientes resultados siguió a la entrega de la carta de Lin Zexu? A: La derrota naval china y nuevos términos comerciales más favorables a Occidente B: La prohibición del comercio del opio en todos los territorios chinos C: Los violentos levantamientos de la minoría musulmana probritánica de China D: La expulsión de todos los extranjeros del territorio chino||A|0.601445|0.0|0.0|0.0|1.0|0.0
4|Una característica importante de los servicios es que son producidos y consumidos por personas, simultáneamente, como un evento único. Uno de los resultados de este proceso único es que es sumamente difícil estandarizar el suministro de servicios en torno al modelo de mapa de servicio. ¿A qué característica de servicio hace referencia esto? A: Intangibilidad. B: Inseparabilidad. C: Variabilidad. D: Cualidad de perecedero.|B|C|0.6914701|0.0|0.0|0.0|3.0|0.0
5|La teoría de la carga atencional postula que: A: la unidad de nuestras acciones pone límites a los recursos atencionales. B: el grado en que se procesa un estímulo ignorado depende del grado de procesamiento requerido por el estímulo atendido. C: la atención selectiva facilita la inhibición del retorno. D: existe un límite general al alcance de los recursos atencionales.|D|B|0.8018909|0.0|0.0|0.0|3.0|0.0
6|¿Cuál de las siguientes opciones tiende a aumentar el multiplicador de gastos? A: Un aumento en la propensión marginal al consumo B: Una disminución en la velocidad de circulación del dinero C: Un aumento en la propensión marginal al ahorro D: Un aumento en la tasa de interés real|A|A|1.0015882|1.0|1.0|1.0|5.0|1.0
7|Las ventajas de una mayor tensión de transmisión son que: A: Se incrementa la capacidad de transferencia de energía de la línea de transmisión B: Se reducen las pérdidas en las líneas de transmisión C: Se reduce el área de la sección transversal y el volumen del conductor D: todas las anteriores|D|D|1.0021142|1.0|1.0|1.0|5.0|1.0
8|¿Por qué el compilador no conoce la dirección absoluta de una variable local? A: Los programas no pueden hacer referencia a la memoria con direcciones absolutas B: El tamaño de la dirección depende de la arquitectura en la que se ejecutará el programa C: Como variable asignada a la pila, puede tener diferentes direcciones dependiendo de cuándo se llame a la función que la contiene D: Los escritores de compiladores no son muy buenos con ese tipo de cosas|C|C|0.99825805|1.0|1.0|1.0|5.0|1.0
9|Un minorista presentó una demanda federal de diversidad contra un mayorista, argumentando incumplimiento de contrato y falsas declaraciones fraudulentas. Luego de que las partes presentaron sus pruebas en el juicio, el tribunal instruyó al jurado sobre las normas jurídicas. Ninguna de las partes presentó una petición de fallo con arreglo a derecho antes de que el caso fuera sometido al jurado. El jurado falló a favor del minorista en ambas reclamaciones. Después de que el tribunal dictó sentencia con el veredicto, el mayorista solicitó un nuevo juicio y resolución con arreglo a derecho, argumentando que la evidencia fue insuficiente para respaldar el veredicto del jurado en cualquiera de las reclamaciones. El tribunal reconoció que había problemas con algunas de las pruebas, pero negó las peticiones. El mayorista presentó una apelación en donde impugnaba la suficiencia de las pruebas. ¿Debería el tribunal de apelación considerar la impugnación del mayorista? A: No, porque la determinación de la suficiencia de las pruebas es únicamente competencia del jurado. B: No, porque el mayorista no presentó una petición en donde sometiera la cuestión de la suficiencia de las pruebas para su resolución con arreglo a derecho antes de que el caso fuera sometido al jurado. C: Sí, porque la impugnación fue analizada y resuelta por el tribunal de primera instancia antes de que el mayorista presentara la apelación. D: Sí porque, como el tribunal de primera instancia reconoció, el mayorista tiene un fundamento sólido para impugnar las pruebas.|C|B|0.6925551|0.0|0.0|0.0|4.0|1.0
