|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from Arabic to English: ""(رفاق (حمد د."""|</answer|- Hammad's colleagues.|0.44024673|0.0|0.0|0.0|3.0|0.0
1|"Translate the following from Arabic to English: ""لم شخص ما ويقول المدافع حلويات؟"""|Why would someone say the defender is sweets?|Did somebody say confetti cannons?|0.50784695|0.0|0.15384615384615385|0.0|1.0|0.0
2|"Translate the following from Arabic to English: ""يجب أن تساعد فى عملية النُزوح - (فيما عدا (بيجاسوس -"""||No Pegasus.|0.48232675|0.0|0.0|0.0|1.0|0.0
3|"Translate the following from Arabic to English: ""وتعنى أن القواعد العادية لا تطبق دوماً"""||Means the usual rules don't always apply.|0.5208845|0.0|0.0|0.0|3.0|0.0
4|"Translate the following from Arabic to English: ""آه ، أجل بالطبع"""|Oh, yes of|Ah, yes, of course.|0.7561636|1.0|0.5714285714285715|1.0|1.0|0.0
5|"Translate the following from Arabic to English: ""إيتوميلنغ كيماني (ليسوتو)"""|Itum|Itumeleng KIMANE (Lesotho)|0.599816|0.0|0.0|0.0|1.0|0.0
6|"Translate the following from Arabic to English: ""هلا تريني كيف سيبدو شكل 60 ياردة ؟"""||Could you show me what 60 square yards of this would look like?|0.43786585|0.0|0.0|0.0|3.0|0.0
7|"Translate the following from Arabic to English: ""الآنسة (ماثيسون) أهملت أن تقول للمحكمة حقيقة مهمّة"""|Miss (Mathison) neglected to tell the court an important truth.|Ms. Mathison's neglected to tell the court an important fact.|0.9581144|1.0|0.761904761904762|1.0|4.0|1.0
8|"Translate the following from Arabic to English: ""-نعم, يا سيدي ."""|</answer|- Yes, sir.|0.59502125|0.0|0.0|0.0|5.0|1.0
9|"Translate the following from Arabic to English: ""وماذا عن المدرسة ؟"""||And what about school?|0.51328266|0.0|0.0|0.0|3.0|0.0
10|"Translate the following from Arabic to English: ""لا افعلها ظاهرياً"""||I don't do it outwardly.|0.39825454|0.0|0.0|0.0|5.0|1.0
11|"Translate the following from Arabic to English: ""لا اعرف عم تتكلمون... ."""||I don't know what you're talking about.|0.44752422|0.0|0.0|0.0|0.0|0.0
12|"Translate the following from Arabic to English: ""أتري ذلك المنزل المتحرك"""|Do you see that moving house?|See that RV?|0.71053493|1.0|0.4444444444444444|0.0|1.0|0.0
13|"Translate the following from Arabic to English: ""لقد نسيت مفاتيحك"""|You have forgotten your keys|You forgot your keys.|0.95467365|1.0|0.6666666666666665|1.0|5.0|1.0
14|"Translate the following from Arabic to English: ""-فتحت النافذة ؟"""|Did you open the window?|- Open the window! - Yes.|0.81951416|1.0|0.6666666666666665|1.0|1.0|0.0
15|"Translate the following from Arabic to English: ""لقد جلبت بعض الماء وبعض الملابس المجففة"""|I have brought|I brought you some water and some dry clothes.|0.6436716|0.0|0.3333333333333333|0.0|4.0|1.0
16|"Translate the following from Arabic to English: ""والدتي في ""نيويورك""؟"""|"Is my mother in ""New"|Yeah, all that's missing is the joint answering machine message.|0.406588|0.0|0.12500000000000003|0.0|1.0|0.0
17|"Translate the following from Arabic to English: ""بخلق فضيحة كفنانة مجنونة"""|Creates a scandal as a mad artist|Creating a scene like a crazy artist.|0.80643463|1.0|0.5714285714285714|1.0|3.0|0.0
18|"Translate the following from Arabic to English: ""ويمثل الشرق الأوسط، ولا سيما بعد أحداث الأسابيع الأخيرة مصدرا للقلق الشديد."""|The Middle East, especially in light of recent events, is|The Middle East, especially after the events of recent weeks, is a source of grave concern.|0.8922121|1.0|0.5384615384615384|1.0|1.0|0.0
19|"Translate the following from Arabic to English: ""سينتهي كل شيء قريباً"""||This will all be over soon.|0.51158303|0.0|0.0|0.0|5.0|1.0
20|"Translate the following from Arabic to English: ""أحببت مشاركتك مشاعري الخافقة وأحتضنك بشدة"""||I just wanna share my throbbing emotions and shoot hot hug all over you.|0.41992274|0.0|0.0|0.0|1.0|0.0
21|"Translate the following from Arabic to English: ""نعم, انا وصديقتى السابقة تقابلنا فى حفلة صاخبة"""|"""Yes, my ex-girlfriend and I met at a loud party."""|Oh. Yeah. My ex-girlfriend and I met at a Slayer concert.|0.7272326|1.0|0.6956521739130435|1.0|1.0|0.0
