|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|ジュピターは、心理学の授業を取っている高校性を対象にした完全主義尺度を新たに開発し試行した。1か月後、同じ試験を同じ学生に実施し、2つの結果の相関をとった。ジュピターが行おうとしていることは次のうちどれか。 A: 外れ値の確認 B: テストの標準化 C: 完全主義の平均値が変わっていないかの確認 D: テストの信頼性の測定|D|D|1.0021142|1.0|1.0|1.0|5.0|1.0
1|CPAが監査実施中に無謀にも正当な注意の基準から逸脱した場合、CPAはCPAが認識していない第三者に対する責任を負いますが、それはどのような法律に基づきますか。 A: 厳格責任。 B: 契約不履行。 C: 過失。 D: 重過失。|D|D|1.0021142|1.0|1.0|1.0|5.0|1.0
2|XとYがE(X)=312、var(X)=6、E(X)=307、var(Y)=8の確率変数であると仮定します。確率変数X + Yの期待値と分散は、次のうちのどれですか？ A: E(X + Y) = 619、var(X + Y) = 7 B: E(X + Y) = 619、var(X + Y) = 10 C: E(X + Y) = 619、var(X + Y) = 14 D: この質問に答えるには情報が不十分である。|C|D|0.7048639|0.0|0.0|0.0|1.0|0.0
3|この質問は、以下の情報に関するものです。 資料1： 「あり得ない立場を平和的修正によって解決することを要求し、同時に平和的修正を拒否し続けることは不可能である。また、これらの修正を自分自身のために行おうとする者が、罪を犯したと言うこともできない。なぜなら、ヴェルサイユの「命令」は我々にとって法律ではないからだ。何百万人もの人々が飢餓に瀕する中、ピストルを頭に突きつけられ、我々は署名を強要された。そして、武力で手に入れた我々の署名入りのこの文書は、謹厳な法律として公布された」 アドルフ・ヒトラー、帝国議会演説、1939年9月1日 資料2： 「我々は気力を失うことも、仕損じることもない。我々は最後までやる。我々はフランスで戦う。我々は海と大洋で戦う。我々は日々自信を強め、空中での力を高めて戦う。我々はいかなる犠牲を払おうとも、我らの島を守る。我々は海岸で戦う。我々は水際で戦う。我々は草原や街で戦う。我々は丘で戦う。我々は決して降伏しない」 ウィンストン・チャーチル、国会演説、1940年6月4日 資料2のウィンストン・チャーチルの演説は、次のうちどの文脈で理解するのが最も適切ですか？ A: 東欧で拡大する抵抗運動に対する英国の支援 B: 米国の軍需品メーカーとの間の、英国の貿易取引 C: 英国の枢軸国への宥和政策 D: ナチス・ドイツの侵攻に対する英国の懸念|D|D|1.0021142|1.0|1.0|1.0|5.0|1.0
4|「裏切り者は裏切り者、だからあなたは裏切り者だ。だから私は愛国者だ。愛国者という言葉は最も重要だ。だから、私の言葉は信用できる。私の言葉は信用できるから、あなたは間違いなく裏切り者だ！」上記のように論理的な間違いをしているのは、どれですか？ A: 文学と芸術に注目すべきでない。近代化は科学とテクノロジーに依存しなければならない。だから、科学とテクノロジーに注目すべきだ。しかし、文学と芸術は科学とテクノロジーではない。 B: 大学に行かない人も卓越した才能のある人になることができる。ゴーキー、エジソン、ファラデー、フランクリンなどは大学を出ていないが、卓越した才能を発揮させた。 C: 地球は球体だ。それは高い所に立って、海の帆船を眺めたとき、いつも最初にマストを見て、それから船体を見るという事実から証明することができる。その理由は地球が球体だからだ。 D: 患者たちを助けたいと意欲的だった若い男性は、もともとこの科学工場の労働者であったと私が気づく以前に、彼らが何度か化学工場から出てくるのを見た。|問題文自身|C|0.48357007|0.0|0.0|0.0|1.0|0.0
5|米連邦準備制度理事会の金融政策手段に含まれないものは、次のうちどれですか？ A: 商業銀行からの米財務省証券の購入 B: 輸入品に対する関税と割当の変更 C: 準備率の変更 D: 公定歩合の変更|B|B|0.9962005|1.0|1.0|1.0|5.0|1.0
6|亜硝酸塩は主に以下の属の微生物の増殖を防ぐために加工肉に添加されます。 A: サルモネラ菌 B: クロストリジウム菌 C: リステリア菌 D: カンピロバクター属菌|B|B|0.9962005|1.0|1.0|1.0|5.0|1.0
7|ブドウの供給が増加すると同時にブドウの需要が増加した場合、言えることは、 A: 均衡数量は上昇するが価格変化は曖昧だということである。 B: 均衡数量は減少するが価格変化は曖昧だということである。 C: 均衡数量が上昇し価格が上昇するということである。 D: 均衡数量が減少し価格が下落するということである。|A|A|1.0015882|1.0|1.0|1.0|5.0|1.0
8|この質問は、次の情報に基づくものです。 「ワンカベリカの水銀鉱山では、貧しいインディオが厳しく罰せられており、拷問にかけられ、多くのインディオが殺されている。この王国の気高いカシケ（首長）たちが拷問にかけられて殺されているのもここである。ポトシの銀山など他のすべての鉱山でも同じことが起こっている。鉱山の所有者や管理者は、スペイン人であれ、メスティーソであれ、インディオであれ、神や正義の女神を恐れぬ暴君である。なぜなら、彼らは年に2回、監査や調査を受けることもないからである。 そして、インディオは鉱山への行き帰りの労働に対する支払いも、鉱山で過ごす時間に対する支払いも受けていない。インディオは、鉱山での雑用の名目で牛の世話をさせられたり、荷物の運搬をさせられたりしている。彼らは平原に送られ、亡くなっている。これらのインディオは労働に対する支払いを受けておらず、彼らの仕事も隠されている。 そして［鉱山所有者は］インディオの女性を料理人として自宅に置いているが、料理というのは名ばかりで、実際には性奴隷として扱っている…。また、彼らはインディオに、トウモロコシや肉、チチャ［コーンビール］…の購入を強制し、その値段をインディオの労働や労働時間から差し引いている。このようにして、インディオは非常に貧しく借金漬けとなり、貢物を払う手段がなくなる。 これらすべてに対する救済策はない。この地にやって来る者［植民地の役人］は誰でも鉱山の所有者と契約を交わし、所有者全員が結託して役人に賄賂を贈ることになるからだ…。インディオの護民官も役に立たない…。貧しいインディオに加えられている危害について陛下や王室のアウディエンシア［裁判所］に警告する（ことはない）」 フェリペ・ワマン・ポマ・デ・アヤラ『新しい記録と良き統治（抄本）』より抜粋。デービッド・フライによる選定、翻訳、注釈。Copyright 2006 Hackett Publishing Company。出版社の許可を得て再版。 フェリペ・ワマン・ポマ・デ・アヤラ『新しい記録と良き統治』、1610年頃 この文章に記載される慣行を理由にアメリカ大陸の先住民に対するスペインの政策に起こった変化は次のうちどれですか。 A: 鉱山の先住民労働者をほぼ完全にアフリカ系奴隷に置き換え B: 先住民との関係を国王がより効果的に統治できるようにする総督職を創設 C: 先住民のより人道的な扱いを要求する国王令の発布 D: 現地植民地にいるスペイン人の支配層による先住民全員の解放|C|C|0.99825805|1.0|1.0|1.0|5.0|1.0
9|あるペットブリーダーは、自身の牛の牧場で子牛を飼育する事業を行っており、非常に繁殖力のある安定した多産の牛を飼育しています。生まれたばかりの子牛には、常に注意を払い、世話をする必要があります。ある日、従業員の1人がうっかりして囲いのドアを開けっぱなしにしてしまい、1頭の生まれたばかり子牛が、近隣の土地に逃げて行ってしまいました。ブリーダーは、安全のために子牛を引き取りに近隣の土地に行き、傷付いてないことを確かめました。しかし、彼は土地に立ち入った後に、侵入罪で逮捕されました。ブリーダーは、上訴しました。裁判所は、その犯罪を棄却するでしょうか。 A: はい、彼は自身の牛が傷付くのを阻止するためその土地に立ち入る限定的な権利を有していたため。 B: はい、若い動物に関する法理では子どもの動物を取り戻すための一時的な立ち入りは認められているため。 C: いいえ、隣人は、自身の土地を横断する生きた子牛を保持する権利を有していたため。 D: いいえ、ブリーダーとしての彼の地位は、限定的許可の資格を有していなかったため。|A|A|1.0015882|1.0|1.0|1.0|5.0|1.0
