|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|Parmi les propositions suivantes, laquelle est la plus directement conçue pour aider à déterminer si les conclusions d’une étude rendent compte d’un phénomène véritablement reproductible plutôt que de processus dont les résultats sont le fruit du hasard ? A: Statistiques inférentielles B: Statistiques descriptives C: L’écart-type D: Variables extérieures||A|0.601445|0.0|0.0|0.0|4.0|1.0
1|Combien coûte la climatisation de toutes les automobiles américaines par an (chiffres de 2018) ? A: 10 millions de dollars B: 100 millions de dollars C: 1 milliard de dollars D: 10 milliards de dollars|D|C|0.70267624|0.0|0.0|0.0|3.0|0.0
2|Un État impose un taux d'impôt progressif sur le revenu net calculé aux termes de la loi fédérale. L'article 22 de la loi de réforme de la ville de 2010, qui doit entrer en vigueur le 1er janvier 2010, prévoit que « Tout parent ou tuteur financièrement responsable de l'éducation de sa paroisse peut demander un crédit d'impôt direct sur ses impôts sur les bénéfices égal au montant des frais de scolarité d'un ou plusieurs enfants en âge de fréquenter l'école secondaire qui ne fréquentent pas un lycée. D'autres dispositions définissent les « frais de scolarité » de manière très large mais limitent le crédit aux frais de scolarité payés aux écoles répondant aux exigences éducatives déterminées par l'État. Le 1er décembre 2009, les parents de deux élèves qui fréquentent un lycée ont engagé une action en justice en vue d’obtenir un jugement déclaratif et une injonction devant un tribunal fédéral, alléguant que l'article 22 violait la clause d'établissement du premier amendement. Le tribunal fédéral va très certainement A: rejeter l'action, parce que le procès implique une question politique. B: rejeter l'action, parce que les plaignants n'ont pas qualité pour agir en tant que contribuables. C: rejeter l'action, parce que les questions ne peuvent encore être négociées. D: rejeter l’action parce que les questions en litige sont sans objet.|B|C|0.6914701|0.0|0.0|0.0|3.0|0.0
3|"Dans lequel des deux scénarios ci-dessous, le cas échéant, le personnage principal (qui utilise je/moi/mon) fait-il quelque chose de clairement moralement répréhensible, selon les normes morales ordinaires aux États-Unis en 2020 ? Scénario 1 | Je jouais à un jeu vidéo à la maison. Scénario 2 | Je laisse mes enfants manger de la glace à chaque repas. A: Répréhensible, répréhensible B: Répréhensible, non répréhensible C: Non répréhensible, répréhensible D: Non répréhensible, non répréhensible"|D|C|0.70267624|0.0|0.0|0.0|3.0|0.0
4|Quel est l’intérêt d’une critique post-structuraliste dans les études sur la sécurité ? A: Nous permettre de comprendre le fonctionnement des sujets politiques laissés à l’écart des discours traditionnels sur la sécurité. B: Examiner la base du pouvoir et sa construction, de manière plus approfondie que l’analyse traditionnelle. C: Remettre en question l’idée que les armes intelligentes et la technologie sont les sujets actifs qui déterminent la sécurité aujourd’hui. D: Toutes les réponses ci-dessus.|D|D|1.0021142|1.0|1.0|1.0|5.0|1.0
5|Dans le contexte de la mondialisation, comment définir au mieux le terme « développement » ? A: Le terme « développement » fait référence à la condition humaine dans laquelle il n’y a pas ni peur ni besoin ; il y a suffisamment de ressources pour maintenir la vie et cette vie peut exister dans un état libre de toute menace, ou de toute menace perçue, d’une interruption soudaine. B: Pour être considérée comme développée, une nation doit avoir atteint un certain statut économique et politique au sein du système étatique mondial ; le critère de ce qui constitue un État « développé » est donc défini par ces exigences d’interaction dans ce système. C: Le développement est un moyen de remédier aux inégalités qui accompagnent la mondialisation néolibérale. Dans ce contexte, le développement fait référence à la capacité d’une population ou d’une communauté à utiliser efficacement les ressources et à accroître l’efficacité de la production et de la distribution, favorisant ainsi une répartition plus équitable des revenus au sein de la société. D: Le développement d’une communauté se réfère aux systèmes de valeurs idéologiques et éthiques auxquels sa population souscrit. Dans le système international mondialisé, il s’agit de l’adoption de l’idéologie démocratique libérale occidentale et de l’économie de marché.|C|C|0.99825805|1.0|1.0|1.0|5.0|1.0
6|Lequel des cercles suivants a le plus grand nombre de points d'intersection avec la parabole x^2 = y + 4 ? A: x^2 + y^2 = 1 B: x^2 + y^2 = 2 C: x^2 + y^2 = 9 D: x^2 + y^2 = 16|D|C|0.70267624|0.0|0.0|0.0|1.0|0.0
7|Cette question fait référence aux informations ci-après. Tout d'abord il nous faut remarquer que le monde est sphérique, soit parce que cette forme est la plus parfaite de toutes, totalité n'ayant besoin d'aucune jointure ; soit parce qu'elle est la forme ayant la capacité la plus grande, qui convient le mieux à tout contenir et tout embrasser ; soit aussi parce que toutes les parties séparées du monde, je veux dire le soleil, la lune et les étoiles, sont vues sous cette forme ; soit parce que toutes choses tendent à se limiter ainsi comme il apparaît dans les gouttes d'eau et d'autres corps liquides, lorsqu'ils tendent à se limiter par eux-mêmes. C'est pourquoi personne ne mettra en doute que cette forme n'appartienne aux corps divins. […]  La terre également est sphérique, car de tous les côtés elle s'appuie sur son centre. Toutefois sa sphéricité parfaite n'est pas vue immédiatement, par suite de la grande hauteur de montagnes et de la dépression des vallées, qui cependant modifient à peine la rotondité totale de la terre. […] Il a été démontré déjà que la terre a la forme d'un globe ; j'estime qu'il faut examiner maintenant si un mouvement suit également de sa forme et quel est le lieu qui lui revient dans l'Univers. […] Certes il est ordinairement admis parmi les auteurs que la terre est en repos au centre du monde, de telle façon qu'ils estiment insoutenable et même ridicule de penser le contraire. Si cependant nous examinons cette question avec plus d'attention, elle nous apparaîtra comme nullement résolue encore et partant, aucunement méprisable.  En effet, tout mouvement local apparent provient soit du mouvement de la chose vue, soit de celui du spectateur, soit d'un mouvement, inégal bien entendu, des deux. […] . Or c'est de la terre que ce circuit céleste est vu et représenté pour notre vision. Si donc quelque mouvement appartenait à la terre, celui-ci apparaîtrait en toutes les choses qui lui sont extérieures, comme si elles étaient entraînées avec la même vitesse, mais en sens contraire ; et telle est en premier lieu la révolution diurne. Celle-ci, en effet, semble entraîner le monde entier, à l'exception de la terre et des choses qui sont près d'elle. Or si l'on admettait que le ciel ne possède rien de ce mouvement, mais que la terre tourne de l'Occident en Orient, et que l'on examinât sérieusement ce qui en résulterait par rapport aux lever et coucher apparents du soleil, de la lune et des étoiles, on trouverait qu'il en est ainsi ».  Nicolas Copernic, Des révolutions des orbes célestes, 1543 D’après ce passage, on pourrait affirmer que Copernic travaillait dans A: la tradition aristotélicienne B: la tradition magique naturelle C: la tradition sceptique D: la tradition platonicienne/pythagoricienne|D|C|0.70267624|0.0|0.0|0.0|3.0|0.0
8|Laquelle des formules données en logique des prédicats exprime le mieux symboliquement la phrase ? Pablo ira au magasin si et seulement si son frère l’y conduit et paie l’essence. A: (P ≡ D) ≡ G B: (D • G) ⊃ P C: P ⊃ (D • G) D: P ≡ (D • G)|D|D|1.0021142|1.0|1.0|1.0|5.0|1.0
9|Sélectionner la meilleure traduction en logique des prédicats. Johnny est venu en retard. A: jL B: Lj C: Cj ∨ Lj D: Lx|B|B|0.9962005|1.0|1.0|1.0|5.0|1.0
