|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from French to English: ""Ça t'apprendra à sortir avec une femme."""|"""That will teach you"|Well, that's what you get for dating a woman.|0.6158815|0.0|0.28571428571428575|0.0|3.0|0.0
1|"Translate the following from French to English: ""Les coopératives de femmes sont en outre encouragées par l'octroi de microcrédits à accroître la production de revenus."""|"The translation of the given French sentence to English is: ""Women's cooperatives are also encouraged to increase revenue production through the provision of microcredits."""|Women's cooperatives were also encouraged through microcredit loans to enhance income generation.|0.7598176|1.0|0.3684210526315789|0.0|4.0|1.0
2|"Translate the following from French to English: ""Les délégations qui souhaitent s'inscrire sur la liste des orateurs pour la réunion de haut niveau, qui aura lieu du lundi 18 septembre au mardi 19 septembre 2006, sont priées de prendre contact avec Mme Carmencita Dizon (tél. 1 (212) 963-5063; bureau S-2994B)."""|The delegations wishing to be placed on the speakers' list for the high-level meeting, which will take place from Monday, September 18 to Tuesday, September 19, 2006, are requested to contact Ms. Carm|Delegations wishing to be inscribed on the list of speakers for the High-level Meeting, to be held from Monday, 18 September, to Tuesday, 19 September 2006, are kindly requested to contact Ms. Carmencita Dizon (tel.|0.9391418|1.0|0.6857142857142857|1.0|4.0|1.0
3|"Translate the following from French to English: ""Les répondants sont prêts à recourir à des entrepreneurs autochtones, pourvu qu'ils soient concurrentiels et fiables."""|The respondents are ready to turn to indigenous entrepreneurs, provided they are competitive|Respondents indicate a positive attitude toward using Aboriginal contractors provided they are competitive and reliable.|0.6543135|0.0|0.3571428571428571|0.0|4.0|1.0
4|"Translate the following from French to English: ""J'ai prié un ami du diocèse de lui trouver un lit, il m'a ri au nez."""|I asked a friend from the diocese to find him a bed, and he laughed in my face|So I called a friend at the diocese to see if a bed was available anywhere and he laughed.|0.8564221|1.0|0.5945945945945946|1.0|3.0|0.0
5|"Translate the following from French to English: ""Elle étudie le droit."""|She studies law.|She's studying labor law.|0.91648424|1.0|0.7499999999999999|1.0|2.0|0.0
6|"Translate the following from French to English: ""- Euh, noir..."""|"""Uh, black..."" </answer"|- Uh, black...|0.8942388|1.0|0.8|1.0|5.0|1.0
7|"Translate the following from French to English: ""Il y a lieu de mettre en place des moyens de défense physiques additionnels afin que les indications des signaux relativement à la vitesse de marche ou aux limites opérationnelles soient reconnues et respectées de façon uniforme."""|There is a need to implement additional physical defense measures so that the indications of signals regarding walking speed or operational limits are recognized and|Additional physical safety defences must be implemented to ensure that railway signal indications governing operating speed or operating limits are consistently recognized and followed.|0.75241745|1.0|0.4489795918367347|0.0|4.0|1.0
8|"Translate the following from French to English: ""o l'exactitude des renseignements fournis au Ministre qui tiennent compte des critères de GER spécifiés dans le présent règlement et qui permettent au Ministre de déterminer s'il ou elle doit ou non refuser un permis d'exportation, d'importation ou de transit;"""|"""and the accuracy of the information provided to"|o the accuracy of the information provided to the Minister which take into account the ESM criteria set out in the regulations, and allow the Minister to determine whether to refuse an export, import or transit permit; and|0.52438706|0.0|0.30434782608695654|0.0|4.0|1.0
9|"Translate the following from French to English: ""Je ne suis pas en 1re année, je change de fac."""|I am not in my first year, I am changing universities. </answer|I'm not actually a freshman. I'm a transfer student.|0.7711277|1.0|0.2608695652173913|0.0|3.0|0.0
