|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from Portuguese to English: ""Penso que isto já durou bastante."""|I think this has lasted long enough.|I think this mess has gone on long enough. I gotta tell you.|0.8423872|1.0|0.6|1.0|1.0|0.0
1|"Translate the following from Portuguese to English: ""O Frankie Vargas foi atingido."""|Frankie Vargas was hit.|Frankie Vargas has been shot.|0.9021914|1.0|0.4444444444444445|0.0|5.0|1.0
2|"Translate the following from Portuguese to English: ""O fato, é que Deus nunca enviaria um homem para realizar uma obra de poder que fosse necessária, sem antes lhe ensinar o jeito de o Espírito agir sobre ele. Então Sansão sabia muito bem que teria de permanecer sob a cobertura do Espírito da verdade - se mantendo consagrado e se abstendo do mal - a fim de ministrar o poder deste Espírito."""||The fact is, God would never send out a man to do a needed work of power without first teaching him the manner in which the Spirit would work upon him. So Samson knew full well he had to stay under the covering of the Spirit of truth - remaining consecrated and abstaining from wickedness - in order to minister the Spirit's power.|0.3165787|0.0|0.0|0.0|4.0|1.0
3|"Translate the following from Portuguese to English: ""Agradeço o que esta a tentar fazer, Dra., mas ja tomei a minha decisao."""||I appreciate what you're trying to do, Doctor. But my decision is final.|0.50028497|0.0|0.0|0.0|4.0|1.0
4|"Translate the following from Portuguese to English: ""De facto sou tipo a tua rapariga ""apoiante""."""|"""In fact, I'm kind of your supporter girlfriend."""|I'm actually sort of your rally girl.|0.7803136|1.0|0.47058823529411764|0.0|2.0|0.0
5|"Translate the following from Portuguese to English: ""DECISÃO DO CONSELHO E DOS REPRESENTANTES DOS GOVERNOS DOS ESTADOS-MEMBROS DA UNIÃO EUROPEIA, REUNIDOS NO CONSELHO"""|"""DECISION OF THE COUNCIL AND OF THE REPRESENTATIVES OF THE GOVERNMENTS OF THE MEMBER STATES OF THE EUROPEAN UNION, ASSEMBLED IN THE COUNCIL"""|DECISION OF THE COUNCIL AND THE REPRESENTATIVES OF THE GOVERNMENTS OF THE MEMBER STATES OF THE EUROPEAN UNION, MEETING WITHIN THE COUNCIL|0.9149205|1.0|0.888888888888889|1.0|1.0|0.0
6|"Translate the following from Portuguese to English: ""Saiam!"""|"""Go out!"""|Get your tools.|0.6037159|0.0|0.0|0.0|1.0|0.0
7|"Translate the following from Portuguese to English: ""Foi pessoal."""|It was personal.|He Went To That Park, He Met Someone There, And They Did It.|0.60575175|0.0|0.125|0.0|1.0|0.0
8|"Translate the following from Portuguese to English: ""Porém, a verdade é que é capaz de tais coisas."""|However, the truth is that he is capable of such things.|Though, the truth is, you're capable of such things.|0.84415275|1.0|0.6666666666666666|1.0|4.0|1.0
9|"Translate the following from Portuguese to English: ""Gene, eu...eu juro para você."""|"""Gene, I...I swear to you."""|Gene, I-I-I swear to you.|0.91004395|1.0|0.923076923076923|1.0|4.0|1.0
10|"Translate the following from Portuguese to English: ""Por outras palavras, o Windows está a associar QMA as extensões de ficheiro ao programa de software errado."""||If your PC opens the QMA file, but it's the wrong application, you'll need to change your Windows registry file association settings. In other words, Windows is associating QMA file extensions with the wrong software program.|0.3211066|0.0|0.0|0.0|4.0|1.0
11|"Translate the following from Portuguese to English: ""A curto prazo, é crucial que o Tratado seja ratificado pelos 27 Estados-Membros."""|In the short term, it is crucial that the Treaty be ratified by the 27 Member States.|In the short term it is crucial to see the Treaty ratified by all the 27 Member States.|0.97979337|1.0|0.8571428571428571|1.0|4.0|1.0
12|"Translate the following from Portuguese to English: ""A segunda dose foi administrada."""||A second dose has been administered.|0.54903466|0.0|0.0|0.0|5.0|1.0
