|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from Italian to English: ""Si', ci sono impronte di Amy dappertutto."""|Yes, there are Amy's footprints everywhere.|Yes, Amy's fingerprints were all over it.|0.81725806|1.0|0.39999999999999997|0.0|3.0|0.0
1|"Translate the following from Italian to English: ""Diciamo che la vita ha in serbo... delle svolte inaspettate."""||Let's just say life takes some surprising turns.|0.47644684|0.0|0.0|0.0|5.0|1.0
2|"Translate the following from Italian to English: ""Senti... sono andata via da sola o una delle tue stupide amichette è venuta con me?"""|"""Listen... did I leave alone or did one of your stupid friends come with me?"""|Look, did I leave on my own, or did one of your stupid, little friends come with me?|0.9154088|1.0|0.7878787878787877|1.0|4.0|1.0
3|"Translate the following from Italian to English: ""Costruzione di caserme, baraccamenti ai posti di frontiera e di altri edifici per le esigenze dell'esercito."""|Construction of barracks, huts at frontier posts, and other buildings for army needs.|Construction of military barracks, border post barracks and other buildings for Army needs.|0.9297798|1.0|0.7692307692307693|1.0|4.0|1.0
4|"Translate the following from Italian to English: ""Ho pensato che Halpert gli avesse rubato l'auto. Qualcosa del genere."""||I think maybe Halpert had stolen his car, something like that.|0.28868493|0.0|0.0|0.0|3.0|0.0
5|"Translate the following from Italian to English: ""Come dorme la notte, amico?"""|</answer|How you get to sleep at night, man?|0.5451151|0.0|0.0|0.0|1.0|0.0
6|"Translate the following from Italian to English: ""Dopo che non avete condiviso nessun indizio?"""|"""After you didn't"|After not sharing a single lead?|0.6102124|0.0|0.2|0.0|4.0|1.0
7|"Translate the following from Italian to English: ""NT1 monocrazia NT1 oligarchia"""|"""NT1 monocracy NT1 oligarchy"""|NT1 monocracy NT1 multiparty system NT1 oligarchy|0.92500913|1.0|0.7272727272727273|1.0|1.0|0.0
8|"Translate the following from Italian to English: ""Nel frattempo, diamo un'occhiata a un film precedente, Trafalgar."""|Meanwhile, let's take a look at a previous film, Trafalgar.|WELL, WHILE WE'RE DOING THAT, UH... PERHAPS WE COULD HAVE A LOOK AT AN EARLIER FILM, TRAFALGAR.|0.85695815|1.0|0.3448275862068966|0.0|4.0|1.0
9|"Translate the following from Italian to English: ""1992:la Commissione adotta un Libro bianco sullo sviluppo futuro della politica comune dei trasporti."""|</|1992:The Commission adopted a White Paper on the future development of the common transport policy.|0.28865358|0.0|0.0|0.0|5.0|1.0
10|"Translate the following from Italian to English: ""– Signor Presidente, inizierò il mio intervento ringraziando i deputati per i loro commenti e le loro osservazioni."""||. Mr President, I wish to begin by thanking Members for their comments and observations.|0.3186853|0.0|0.0|0.0|4.0|1.0
11|"Translate the following from Italian to English: ""Consentitemi quindi di dirvi che la relazione dell’ onorevole Riis-Jørgensen rappresenta un passo verso una modalità razionale per tassare gli autoveicoli e proteggere l’ ambiente."""|Therefore, I would like to tell you that the rapporteur Riis-Jørgensen's report represents a step towards a rational way of taxing vehicles and protecting the environment. </|Let me tell you, then, that the Riis-Jørgensen report is a step towards a rational way of taxing motor vehicles and protecting the environment.|0.9455143|1.0|0.7636363636363636|1.0|4.0|1.0
12|"Translate the following from Italian to English: ""June Harris stava dicendo la verita'."""||June Harris was telling the truth.|0.4129902|0.0|0.0|0.0|5.0|1.0
13|"Translate the following from Italian to English: ""Semplicemente immaginate la mente come un'entità non locale e il cervello ""unicamente"" come il suo apparato ricettivo, come un apparecchio radio o una televisione."""||"Simply imagine the mind as a non-local entity and the brain ""uniquely"" as the reception apparatus for it, like a radio or a TV set. It is quite clear - and anyone would be silly to assume - that for example a small big-band is inside the radio set playing the music."|0.3580317|0.0|0.0|0.0|4.0|1.0
14|"Translate the following from Italian to English: ""WR 104 e' quella che si definisce una stella di Wolf-Rayet."""||WR 104 is what's known as a Wolf-Rayet star.|0.338593|0.0|0.0|0.0|5.0|1.0
15|"Translate the following from Italian to English: ""Conoscevo la ragazza, in piu' ci sono i sedativi."""|I knew the girl, and there are also sedatives|If I knew the girl, plus the sedatives.|0.91799474|1.0|0.5882352941176471|1.0|2.0|0.0
16|"Translate the following from Italian to English: ""Puo' aiutarci?"""|Can it help us?|She can help out?|0.7932407|1.0|0.5|0.0|2.0|0.0
17|"Translate the following from Italian to English: ""Megastar in un'esposizione di TV rumena con l'obiettivo per trovare le varie stelle aumentanti con i talenti straordinari di canto. Tuttavia, alcuni dei concorrenti sembrano avere molti talenti. ma cantare non è definitivamente un di loro."""|Megastar in a Romanian TV exhibition with the aim of finding various stars increasing with extraordinary singing talents. However, some of the contestants seem to have many talents, but singing is definitely not one of them.|Megastar in a Romanian TV show with the goal to find various rising stars with extraordinary singing talents. However, some of the contestants seems to have many talents .. but singing is definitely not one of them.|0.94933236|1.0|0.8888888888888888|1.0|4.0|1.0
