|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from French to English: ""Ça t'apprendra à sortir avec une femme."""|"""This will teach you to date a woman."""|Well, that's what you get for dating a woman.|0.7786633|1.0|0.4444444444444445|0.0|1.0|0.0
1|"Translate the following from French to English: ""Les coopératives de femmes sont en outre encouragées par l'octroi de microcrédits à accroître la production de revenus."""||Women's cooperatives were also encouraged through microcredit loans to enhance income generation.|0.28246042|0.0|0.0|0.0|4.0|1.0
2|"Translate the following from French to English: ""Les délégations qui souhaitent s'inscrire sur la liste des orateurs pour la réunion de haut niveau, qui aura lieu du lundi 18 septembre au mardi 19 septembre 2006, sont priées de prendre contact avec Mme Carmencita Dizon (tél. 1 (212) 963-5063; bureau S-2994B)."""|The delegations that wish to register on the list of speakers for the high-level meeting, which will take place from Monday, September 18, 2006 to Tuesday, September 19, 2006, are requested to contact Ms. Carmencita Dizon (tel. 1 (212) 963-5063; office S-2994B).|Delegations wishing to be inscribed on the list of speakers for the High-level Meeting, to be held from Monday, 18 September, to Tuesday, 19 September 2006, are kindly requested to contact Ms. Carmencita Dizon (tel.|0.96525496|1.0|0.6913580246913581|1.0|4.0|1.0
3|"Translate the following from French to English: ""Les répondants sont prêts à recourir à des entrepreneurs autochtones, pourvu qu'ils soient concurrentiels et fiables."""||Respondents indicate a positive attitude toward using Aboriginal contractors provided they are competitive and reliable.|0.35080758|0.0|0.0|0.0|4.0|1.0
4|"Translate the following from French to English: ""J'ai prié un ami du diocèse de lui trouver un lit, il m'a ri au nez."""||So I called a friend at the diocese to see if a bed was available anywhere and he laughed.|0.27871507|0.0|0.0|0.0|3.0|0.0
5|"Translate the following from French to English: ""Elle étudie le droit."""|She studies law.|She's studying labor law.|0.9173773|1.0|0.7499999999999999|1.0|2.0|0.0
6|"Translate the following from French to English: ""- Euh, noir..."""|"""- Uh, black..."""|- Uh, black...|0.9285223|1.0|1.0|1.0|5.0|1.0
7|"Translate the following from French to English: ""Il y a lieu de mettre en place des moyens de défense physiques additionnels afin que les indications des signaux relativement à la vitesse de marche ou aux limites opérationnelles soient reconnues et respectées de façon uniforme."""||Additional physical safety defences must be implemented to ensure that railway signal indications governing operating speed or operating limits are consistently recognized and followed.|0.3982757|0.0|0.0|0.0|4.0|1.0
8|"Translate the following from French to English: ""o l'exactitude des renseignements fournis au Ministre qui tiennent compte des critères de GER spécifiés dans le présent règlement et qui permettent au Ministre de déterminer s'il ou elle doit ou non refuser un permis d'exportation, d'importation ou de transit;"""|"""or the accuracy of the information provided to the Minister that takes into account the GER criteria specified in this regulation and allows the Minister to determine whether or not to refuse an export, import, or transit permit;"""|o the accuracy of the information provided to the Minister which take into account the ESM criteria set out in the regulations, and allow the Minister to determine whether to refuse an export, import or transit permit; and|0.91734356|1.0|0.8157894736842104|1.0|4.0|1.0
9|"Translate the following from French to English: ""Je ne suis pas en 1re année, je change de fac."""||I'm not actually a freshman. I'm a transfer student.|0.44868433|0.0|0.0|0.0|1.0|0.0
10|"Translate the following from French to English: ""Par exemple, si l'ingénieur principal ou en chef disait à l'officier ingénieur de quart que le TBN baisse, il devrait être au fait de causes comme un combustible sulfureux élevé."""||For example if the Senior or Chief Engineer were to say to the Watchkeeping engineer that the TBN was decreasing he/she should be aware of the causes such as high sulfur fuel.|0.33292046|0.0|0.0|0.0|4.0|1.0
11|"Translate the following from French to English: ""Dans le secteur médical par exemple, le temps de garde est déjà rémunéré sur la base d'un niveau forfaitaire calculé en fonction de la charge moyenne de travail."""|"""For example, in the medical sector, the time spent on duty is already compensated based on a fixed rate calculated according to the average workload."""|In addition, the actual working time required of the employee during oncall time is recorded on an exactly timed basis over a fairly long representative period.|0.6540194|0.0|0.27450980392156865|0.0|3.0|0.0
12|"Translate the following from French to English: ""ELMS - 04/04/2009"""|ELMS - April 4, 2|ELMS - 13/09/2008|0.743312|1.0|0.25|0.0|1.0|0.0
13|"Translate the following from French to English: ""Quel que soit leur organisme d'attache ou leur lieu de travail, les agents d'application de la loi jouissent d'une latitude considérable au moment de servir un avertissement, de délivrer un procès-verbal de contravention ou de déposer des accusations."""|"""Regardless of their attachment agency or workplace location, law enforcement officers enjoy considerable latitude when serving a warning, issuing a violation report, or filing charges."""|Regardless of the entity they work for or their geographical location, enforcement officers have considerable discretion when it comes to issuing a warning, a ticket, or laying a charge.|0.86674994|1.0|0.48148148148148145|0.0|4.0|1.0
