|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from Japanese to English: ""落ち着く〜！"""|</|I feel so at home!|0.5996534|0.0|0.0|0.0|1.0|0.0
1|"Translate the following from Japanese to English: ""行使に数週間かかる 複製作業も"""||Probably takes Cohen a few weeks to rule... and then there's a redaction process.|0.3559482|0.0|0.0|0.0|1.0|0.0
2|"Translate the following from Japanese to English: ""じゃ、ハット、 刑務所にいても、あまり影響なかったみたい"""||Well, Hutt, it doesn't look like prison had to adverse an effect on you.|0.3647798|0.0|0.0|0.0|2.0|0.0
3|"Translate the following from Japanese to English: ""まっ 頑張ってましたね （山里）頑張ってるってことが"""|"""I see, you've been working hard, (Yamazaki) and"|-They work hard.|0.64285904|0.0|0.3333333333333333|0.0|3.0|0.0
4|"Translate the following from Japanese to English: ""艦隊のクルーは戦闘で テストされることはなくなる"""||No crew in Starfleet has been tested more in battle.|0.37563014|0.0|0.0|0.0|3.0|0.0
5|"Translate the following from Japanese to English: ""嫌いな国だね 馬を見かけないし"""|"""It's a country you don't like, right? I haven't seen any horses."" </"|Well, I think we should win. I hate Vietnam.|0.50745374|0.0|0.08333333333333334|0.0|1.0|0.0
6|"Translate the following from Japanese to English: ""さあ ニッキ 謙遜するな"""|"""Alright, Nikki, don't be modest"" </answer"|Come on, Nicky, don't be modest.|0.7920886|1.0|0.5714285714285714|1.0|4.0|1.0
7|"Translate the following from Japanese to English: ""私もよ"""|"""Me too"" </"|- Pleased to meet you. - It's nice to meet you.|0.5253415|0.0|0.0|0.0|3.0|0.0
8|"Translate the following from Japanese to English: ""私たちの一族では、 十二の名前が使用される。"""|In our clan,|In our clan, 12 names are used in.|0.68446374|0.0|0.5454545454545454|1.0|2.0|0.0
9|"Translate the following from Japanese to English: ""レスター　いま谷に降りている"""|Leicester is|Galt is dead.|0.41891742|0.0|0.4|0.0|1.0|0.0
10|"Translate the following from Japanese to English: ""多分の為に支払ってるんじゃないわ フレディ"""|"""I'm not paying for probably, Freddie."""|"We don't pay you for ""maybe"", Freddie."|0.8012811|1.0|0.39999999999999997|0.0|4.0|1.0
11|"Translate the following from Japanese to English: ""この封筒は誰が？"""||Do you know how this envelope got here?|0.47407293|0.0|0.0|0.0|5.0|1.0
12|"Translate the following from Japanese to English: ""忘れてたのよ"""|"""I forgot."" </answer"|I forgot about it. He...|0.79332435|1.0|0.5|0.0|3.0|0.0
13|"Translate the following from Japanese to English: ""あなたはローマの援軍を反対した 大公ノタラス"""||You were against the Latin support, Grand Duke Notaras.|0.35720783|0.0|0.0|0.0|4.0|1.0
14|"Translate the following from Japanese to English: ""世界中の笑いものだ だがやめんぞ"""|"""It's a laughingstock around the world, but I'll stop it."""|The world's laughing! - Right. But we're not dead.|0.60984373|0.0|0.2727272727272727|0.0|2.0|0.0
15|"Translate the following from Japanese to English: ""イスはそのままにしておきなさい。"""|"""Don't change it"|Leave the chairs as they are.|0.68224233|0.0|0.0|0.0|3.0|0.0
16|"Translate the following from Japanese to English: ""リアクター崩壊まで47分だ"""||We have 47 minutes until our reactor breaches.|0.44490978|0.0|0.0|0.0|5.0|1.0
17|"Translate the following from Japanese to English: ""古めかしい感じだ"""|It has an old|The office does appear archaic.|0.711461|1.0|0.0|0.0|1.0|0.0
18|"Translate the following from Japanese to English: ""尻を蹴飛ばしてやる"""|"""Kick your buttocks"""|I'm going to kick your ass.|0.82467186|1.0|0.4|0.0|5.0|1.0
19|"Translate the following from Japanese to English: ""例 3コールバック関数として匿名関数を使用"""||2.3445, M_PI some trig: -1.6291725057799 a hypotenuse:|0.42018318|0.0|0.0|0.0|1.0|0.0
20|"Translate the following from Japanese to English: ""子供は作れない 同じ遺伝子を伝えたくない"""|"""I can't have children and don't want to pass on the same genes."""|I'm not gonna have a child... with the same genetic disorder as me who's gonna die.|0.7999067|1.0|0.2424242424242424|0.0|4.0|1.0
21|"Translate the following from Japanese to English: ""その香りが欲しいんだ"""|"""I want that smell"|Michelle, I want it back.|0.6263735|0.0|0.4444444444444445|0.0|1.0|0.0
22|"Translate the following from Japanese to English: ""よく聞くんだ アレックス"""||Listen closely, Alex.|0.5171361|0.0|0.0|0.0|5.0|1.0
23|"Translate the following from Japanese to English: ""そういうのは苦手だ 変な回数を想像しちゃう"""|"""I'm not good with that kind of thing; I start imagining weird stuff."""|Well, I don't have that kind of imagination. I barely picture odd numbered things.|0.7582325|1.0|0.3448275862068965|0.0|1.0|0.0
24|"Translate the following from Japanese to English: ""最初から決まってたのかも"""|It might have been|Maybe we were doomed from the beginning.|0.57630074|0.0|0.0|0.0|5.0|1.0
25|"Translate the following from Japanese to English: ""信じてくれ 君には俺の助けが必要だ"""|"""Believe in me"|Trust me. Karly, you need my help|0.70902073|1.0|0.2|0.0|3.0|0.0
26|"Translate the following from Japanese to English: ""光を照らしたら・・ 分かったよ"""|</|You know what would be helpful? A little light. Certainly.|0.5168362|0.0|0.0|0.0|1.0|0.0
27|"Translate the following from Japanese to English: ""俺たちはお前をそこから出す しっかりつかめ ブラボー 分かったか 待機する"""|"""We will get you out of there, hold on tight, Bravo, did you understand, wait"|We'll get you out of there. Just hang tight, Bravo. OK, wait out.|0.9227446|1.0|0.6206896551724138|1.0|3.0|0.0
28|"Translate the following from Japanese to English: ""誰を使ってもいい"""|"""Whoever you want to use"" </"|I don't care who you have to pull off shift.|0.6627841|0.0|0.25000000000000006|0.0|1.0|0.0
29|"Translate the following from Japanese to English: ""そう信じてますけど..."""||Sure, Mr. DeCarlo.|0.4953867|0.0|0.0|0.0|1.0|0.0
30|"Translate the following from Japanese to English: ""注意 トランザクションを使用している場合、コミットの後ではなくINSERT, UPDATE, DELETEクエリの後で fbsql_affected_rows() をコールする必要がありま す。"""|"""If you are using transactions, you must call fbsql_affected_rows() after INSERT, UPDATE, DELETE queries, not after a commit."""|If you are using transactions, you need to call fbsql_affected_rows() after your INSERT, UPDATE, or DELETE query, not after the commit.|0.9785977|1.0|0.8372093023255814|1.0|2.0|0.0
31|"Translate the following from Japanese to English: """"私の事を忘れないで"""""||Just hold a good thought for me.|0.44579712|0.0|0.0|0.0|1.0|0.0
32|"Translate the following from Japanese to English: ""げっぷさせる"""|"""To make someone"|- Oleaning.|0.29631856|0.0|0.0|0.0|1.0|0.0
33|"Translate the following from Japanese to English: ""- いくぞ"""|"""- I'm off to [wherever I'm going to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to]"" </answer"|- Ready? - Yes, doctor.|0.4669385|0.0|0.0|0.0|1.0|0.0
34|"Translate the following from Japanese to English: ""- ああ"""|"""Ah"|Yes.|0.71758914|1.0|0.0|0.0|1.0|0.0
35|"Translate the following from Japanese to English: ""事務所がある"""|"""There is an office"|He's got an office--|0.8585587|1.0|0.4444444444444445|0.0|3.0|0.0
36|"Translate the following from Japanese to English: ""（吉森） はい..."""||Yes.|0.5635263|0.0|0.0|0.0|1.0|0.0
37|"Translate the following from Japanese to English: ""知ってる"""|""""|I know.|0.6695787|0.0|0.0|0.0|5.0|1.0
38|"Translate the following from Japanese to English: ""おまえのため息が聞こえる"""||I can hear you sigh.|0.44138432|0.0|0.0|0.0|1.0|0.0
39|"Translate the following from Japanese to English: ""防衛庁が防衛省に格上げされたのはなぜですか？"""||Why was the Japan Defense Agency upgraded to the Japanese Ministry of Defense?|0.3025392|0.0|0.0|0.0|5.0|1.0
40|"Translate the following from Japanese to English: ""貧しさの反動が キラキラとか ヒラヒラに行くのよ"""|"""The backlash against poverty is to sparkle or flutter."""|My response to poverty came through glittery, lacey things.|0.67476374|0.0|0.1111111111111111|0.0|1.0|0.0
41|"Translate the following from Japanese to English: ""俺の事は気にするな"""|"""Don't worry"|Dude, it doesn't care.|0.7289765|1.0|0.25|0.0|1.0|0.0
42|"Translate the following from Japanese to English: ""大体１０００日だね"""|</answer|- That's like, what, 1,000 days?|0.4630151|0.0|0.0|0.0|1.0|0.0
43|"Translate the following from Japanese to English: ""取締機関と軍のシステムに 私達のソフトウェアを被せて 彼等のレーダーに工作して 艦隊が探知されないように"""||We'll piggyback our software into their law enforcement and military computers, disable their radar so they can't detect our ships.|0.33029625|0.0|0.0|0.0|4.0|1.0
44|"Translate the following from Japanese to English: ""ええと、ディープキス出来る？"""|"""And, can you give a deep kiss?"""|- Oh. Can you French kiss?|0.6992128|0.0|0.5|0.0|1.0|0.0
45|"Translate the following from Japanese to English: ""払わないのなら 他で暮らして"""||If she doesn't start paying... I'm not. ...she has to leave.|0.27976596|0.0|0.0|0.0|2.0|0.0
46|"Translate the following from Japanese to English: ""ここで見聞きしたことは口外してはいけません 私の明確な許可なくして この階を離れてもいけません"""||You will not speak of anything you hear or see, and you will not leave this level without my express permission.|0.44146824|0.0|0.0|0.0|4.0|1.0
