|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Context: مايكل باتريك سميث (من مواليد 19 يناير 1942)، المعروف باسم مايكل كروفورد، هو ممثل وكوميدي ومغني إنجليزي. لقد حظي بإشادة نقدية كبيرة وفاز بالعديد من الجوائز خلال مسيرته، التي تشمل الراديو والتلفزيون والسينما والعمل المسرحي في كل من ويست إند في لندن وبرودواي في مدينة نيويورك. كان ""Chalk and Cheese"" برنامجًا تلفزيونيًا كوميديًا قصير الأمد، من بطولة مايكل كروفورد وروبن هاودون. Question: ما اسم الممثل والكوميدي والمغني الإنجليزي الذي ظهر في مسرحية ""Chalk and Cheese""؟"|Michael Crawford|مايكل باتريك سميث|0.70701987|1.0|0.0|0.0|5.0|1.0
1|"Context: في منتصف عام 1984، طرحت شركة برازيلية تُدعى Prológica، والتي كانت تصنع إصداراتها الخاصة من أجهزة الكمبيوتر الأمريكية ذات الـ 8 بتات، في السوق البرازيلية جهازًا جديدًا لسلسلة أجهزة الكمبيوتر الشخصية الخاصة بها يسمى ""CP"" (اختصار لعبارة ""Personal Computer"" باللغة البرتغالية). يعد Atari ST من حواسيب المنزل العائدة لشركة أتاري وهو الخَلَف لعائلة أتاري 8-بت. تمت الإصدارات المحدودة للنموذج الأولي ST 520 في الفترة من أبريل إلى يونيو 1985، وكان متاحاً على نطاق واسع في يوليو من نفس العام. يُعتبر Atari ST أول حاسوب شخصي يأتي بواجهة مستخدم رسومية ملونة مبنية على تقنية البت ماب، باستخدام نسخة من GEM لشركة دجيتال ريسيرش التي أُصدرت في فبراير 1985. أما النموذج 1040ST الذي أُصدر في عام 1986، فهو أول حاسوب شخصي يشحن بذاكرة وصول عشوائي سعتها ميغابايت واحد في التكوين الأساسي، وأيضًا أول حاسوب تصل تكلفة الكيلوبايت فيه إلى أقل من دولار أمريكي واحد. Question: هل يُعتبر كلا من Prológica CP-400 وAtari ST حواسيب شخصية؟"|نعم|نعم|1.0000422|1.0|0.0|0.0|5.0|1.0
2|Context: دوري تشيشير لكرة القدم هو مسابقة كرة قدم مقرها في تشيشير، إنجلترا، والذي كان يعرف حتى عام 2007 باسم دوري كرة القدم لجمعية وسط تشيشير. من الموسم 2017-2018، يعمل الدوري بأربع درجات: الدرجة الممتازة، الدرجة الأولى والدرجة الثانية، ودرجة احتياطية. تأسس في عام 1948، وقد حافظ نادي واحد فقط (نوتسفورد) على عضوية مستمرة منذ تشكيل الدوري. وقد غادر عضوان مؤسسان آخران الدوري مؤخراً - ويتشيرش ألبرت في عام 2012 وبارنتون في صيف عام 2014. أسشتون تاون أسوشييشن لكرة القدم هو نادٍ لكرة القدم مقره في أشتون إن ميكر فيلد، مانشستر الكبرى، إنجلترا. يلعب النادي حالياً في الدوري الممتاز لدوري شيشاير ويخوض مبارياته في ملعب إيدج جرين ستريت، على بعد ميل واحد شمال شرق مركز المدينة. Question: ما هو قسم دوري تشيشاير لموسم 2017-18 الذي يعد نادي كرة القدم أشتون تاون حاليًا عضوًا فيه؟|الدوري الممتاز|الدوري الممتاز|1.0053562|1.0|0.0|0.0|5.0|1.0
3|"Context: فرجينيا روزيتشي (ولدت في 31 يناير 1955) هي لاعبة تنس محترفة سابقة من رومانيا. فازت ببطولة فرنسا المفتوحة لفردي السيدات في عام 1978. السير أندرو بارون موراي، {'1': "", '2': "", '3': "", '4': ""} (ولد في 15 مايو 1987) هو لاعب تنس محترف بريطاني من أسكتلندا، ويحتل حاليًا المرتبة الثالثة عالميًا في فردي الرجال. يمثل موراي بريطانيا العظمى في أنشطته الرياضية وهو الفائز بثلاث بطولات جراند سلام الكبرى، وبطل أولمبي مرتين، وبطل كأس ديفيس وفاز بنهائيات جولة رابطة محترفي التنس العالمية لعام 2016. Question: في أي رياضة يشارك كل من فيرجينيا روزيتشي وآندي موراي؟"|التنس|لاعب تنس محترف|0.76303494|1.0|0.0|0.0|1.0|0.0
4|Context: ويليام كينغ (9 فبراير 1768 - 17 يونيو 1852) كان تاجراً أمريكياً وبناء سفن وضابط جيش ورجل دولة من باث، مين. كان مؤيداً لاستقلال مين كولاية، وأصبح أول حاكم لها عندما انفصلت عن ماساتشوستس في عام 1820. أجريت انتخابات حاكم ولاية ماين لعام 1820 في 3 أبريل 1820. كانت هذه أول انتخابات لمنصب حاكم ولاية ماين، وقد جرت بعد انفصال ماين عن ماساتشوستس والاعتراف بها كولاية في 15 مارس 1820. جاء انفصال ماين عن ماساتشوستس نتيجة لتسوية ميسوري. شهدت هذه الانتخابات انتخاب ويليام كينج بالإجماع تقريبًا، وهو الشخص الذي كان له الفضل الأكبر في السعي لتحقيق استقلال ولاية ماين. لم يكن له أي منافسين. Question: من أين كان أول حاكم بعد تسوية ميسوري؟|ويليام كينج|باث، مين|0.65869755|0.0|0.0|0.0|1.0|0.0
5|Context: مطار باجو باجو الدولي (IATA: PPG، ICAO: NSTU، FAA LID: PPG)، المعروف أيضًا باسم مطار تافونا، هو مطار عام يقع على بعد 7 أميال (11.3 كيلومترًا) جنوب غرب المنطقة التجارية المركزية في باجو باجو، في قرية وسهول تافونا على جزيرة توتويلا في ساموا الأمريكية، وهي منطقة غير مدمجة تابعة للولايات المتحدة. مطار تشاتانوغا متروبوليتان (IATA: CHA، ICAO: KCHA، FAA LID: CHA)، المعروف أيضًا باسم مطار لوفيل فيلد، هو مطار عام يقع على بعد خمسة أميال (8 كم) شرق منطقة الأعمال المركزية في تشاتانوغا، وهي مدينة في مقاطعة هاميلتون، تينيسي، الولايات المتحدة. المطار مملوك ومدار من قبل هيئة مطار تشاتانوغا متروبوليتان. إنه مطار من الفئة C يخدمه تشاتانوغا أبروتش. Question: ترجم النص التالي: أي مطار، مطار باغو باغو الدولي أو مطار تشاتانوغا متروبوليتان، أقرب إلى الحي التجاري المركزي في مجتمعهم المحلي؟|تشاتانوغا|مطار تشاتانوغا متروبوليتان|0.86787856|1.0|0.0|0.0|1.0|0.0
6|"Context: Schweizerischer Niederlaufhund (رمز FCI: 60) (يُترجم إلى الإنجليزية باسم كلب الصيد السويسري الصغير)، هو سلالة من الكلاب من نوع كلاب الصيد ذات الرائحة من سويسرا. ""Niederlaufhund"" تعني كلب الصيد قصير الساقين. تحتوي السلالة على عدد من الأنواع المختلفة (جميعها من نفس السلالة). البودينغو البرتغالي هو سلالة قديمة من كلاب الصيد متعددة الحواس (البصر والشم) من البرتغال. كسلالة، يتم تقسيم البودينغو إلى ثلاث فئات حجمية لا يتم تهجينها: صغيرة (بيكينو)، متوسطة (مديو)، وكبيرة (غراندي). تكون فراؤها إما قصيرة و""ناعمة""، أو أطول و""خشنة"". النوع ذو الفراء الناعم هو تقليدي، يعود تاريخه إلى القرن الخامس، في حين أن النوع ذو الفراء الخشن هو نتيجة لدمج سلالات أخرى مختلفة خلال القرن العشرين. بشكل عام، السلالة صحية؛ نوع بيكينو (الصغير) لديه متوسط عمر يبلغ حوالي 15-17 سنة. Question: هل كلا سلالتي كلاب Schweizerischer Niederlaufhund وPortuguese Podengo من البرتغال؟"|لا|لا|1.0001082|1.0|0.0|0.0|5.0|1.0
7|"Context: فلفيت بارك: ثقافة النسويات في ازدهار هي موقع إلكتروني يهتم بالفنون والثقافة النسوية والليزبية، ويعرض بشكل منتظم الموسيقى والأدب والمسرح والفنون الجميلة والسينما والتلفزيون والنشاط الاجتماعي وتأثيرها على ثقافة المثليين. كما يستضيف ""فلفيت بارك"" شبكة اجتماعية ومجتمع مواعدة للنساء المثليات والنساء اللاتي يعرّفن أنفسهن بأنهّن غيريات الجنس. ""شيب"" هي مجلة لياقة بدنية شهرية باللغة الإنجليزية بدأت من قبل منشورات ويدر في عام 1981، أسستها كريستين ماكنتاير (رائدة في مجال اللياقة البدنية للسيدات باستخدام الأثقال الحرة) وأصبحت المجلة الأولى في لياقة السيدات. في ذلك الوقت، كانت مؤسسات ويدر تتألف بشكل أساسي من مجلة كمال الأجسام ""ماسِل & فيتنِس"". كان كل من جو ويدر وكريستين ماكنتاير لهما رؤى مختلفة حول كيفية تقديم ""شيب""، حيث كان ويدر يؤيد نهجًا أقل صحفية وأكثر تجارية للمقالات، بينما كانت ماكنتاير تؤيد عرضًا أكاديميًا أكثر وتعتمد على الأطباء في المجلة. كان ويدر أيضًا يؤيد نهجًا أكثر جاذبية في التحرير بينما كانت ماكنتاير تؤيد مظهرًا أكثر صحة للنساء، متجنبةً الجاذبية في العارضات والنصوص. انتصرت ماكنتاير بشكل كبير في تلك المعركة، حيث قامت بتحرير مجلة تتطلب أن يكون لكل كاتب درجات طبية متقدمة، وأن تبدو عارضات الغلاف صحيات بدلًا من جاذبات، وأن يتم تجنب اللغة الجنسوية. كانت كريستين ماكنتاير رئيسة التحرير حتى وفاتها في عام 1988. تارا كرافت هي Question: هل مجلة Velvetpark أو Shape موجهة بشكل أكبر لقراء من الإناث اللواتي يعرّفن أنفسهن كعابرات أو مثليات؟"|Velvetpark|فيلفيتبَرك (Velvetpark)|0.8166768|1.0|1.0|1.0|5.0|1.0
8|"Context: جاك توماس شيك (13 أبريل 1924 - 23 أكتوبر 2016) كان رسام كاريكاتير وناشراً أمريكياً، اشتهر بكتالوجه ""شيتراك"" المسيحية الإنجيلية الأصولية، التي قدمت وجهة نظره حول مجموعة متنوعة من القضايا من خلال مسرحيات أخلاقية بالفن التسلسلي. فريد كارتر (مواليد 22 يونيو 1938) هو فنان أمريكي معروف بأعماله في منشورات جاك شيك منذ عام 1972. Question: من هو رسام الكاريكاتير الأمريكي والناشر الذي كان يعمل لديه فريد كارتر؟"|جاك شيك|جاك تشيك|0.83289266|1.0|0.0|0.0|1.0|0.0
9|Context: مجلس شيوخ ولاية هاواي هو المجلس الأعلى في الهيئة التشريعية لولاية هاواي. يتكون المجلس من خمسة وعشرين عضوًا يتم انتخابهم من عدد متساوٍ من الدوائر الانتخابية عبر الجزر. يقود المجلس رئيس مجلس الشيوخ، الذي يُنتخب من بين أعضاء المجلس، ويشغل هذا المنصب حاليًا رون كوتشي. كان السلف لمجلس شيوخ ولاية هاواي خلال حكومة مملكة هاواي هو بيت النبلاء الذي تأسس في عام 1840. وفي عام 1894، أعاد دستور جمهورية هاواي تسمية المجلس الأعلى ليصبح مجلس الشيوخ الحالي. يتم انتخاب الأعضاء لولاية تستمر لأربع سنوات ولا يخضعون لحدود المدة. وكمعظم الهيئات التشريعية في الولايات المتحدة، يعتبر مجلس شيوخ هاواي هيئة تعمل بدوام جزئي وغالبًا ما يكون لأعضاء المجلس وظائف نشطة خارج الحكومة. المجلس الأدنى للهيئة التشريعية هو مجلس نواب هاواي. يقوم أعضاء مجلس الشيوخ أيضًا بانتخاب مسؤولين إضافيين ليشملوا نائب رئيس مجلس الشيوخ، وكاتب المجلس الرئيسي، ومساعد كاتب المجلس، وضابط السلاح في مجلس الشيوخ ومساعد ضابط السلاح. سوزان ن.ج. 'سوزي' تشون أوكلاند هي عضوة ديمقراطية في مجلس شيوخ هاواي، تمثل المنطقة الثالثة عشرة منذ عام 1996. كانت سابقاً عضوة في مجلس نواب هاواي من عام 1990 إلى عام 1996. تعتبر عادة ذات آراء سياسية ليبرالية. Question: هل كانت سوزان تشون أوكلاند عضوة في الغرفة العليا أو السفلى من الهيئة التشريعية لولاية هاواي؟|العليا|الغرفة السفلى|0.70846426|1.0|0.0|0.0|1.0|0.0
