|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|Context: 迈克尔·帕特里克·史密斯（Michael Patrick Smith）（出生于1942年1月19日），以迈克尔·克劳福德（Michael Crawford）之名为人所知，是一位英国演员、喜剧演员和歌手。在他的职业生涯中，他在伦敦西区和纽约市百老汇的电台、电视、电影及舞台表演方面获得了极高的评价，并赢得了众多奖项。 《Chalk and Cheese》是一部短命的情景喜剧电视节目，由迈克尔·克劳福德（Michael Crawford）和罗宾·霍顿（Robin Hawdon）主演。 Question: 哪位英国演员、喜剧演员和歌手出现在《活力与沉着》中？|迈克尔·克劳福德 </answer|迈克尔·帕特里克·史密斯|0.654596|0.0|0.0|0.0|1.0|0.0
1|"Context: 在1984年中期，一家名为Prológica的巴西公司推出了新设备，专门用于其个人计算机系列，称为""CP""（葡萄牙语中个人计算机的缩写）。该公司以生产自己的8位美国计算机版本而闻名，并将这款新设备引入了巴西市场。 Atari ST 是 Atari 公司推出的一系列家用电脑，是 Atari 8位家族的继承者。最初的 ST 模型，520ST，在 1985年4月至6月期间限量发布，并于7月广泛上市。Atari ST 是第一台配备位图彩色图形用户界面的个人电脑，使用的是 1985年2月发布的 Digital Research 的 GEM 版本。1040ST 于1986年推出，是第一台在基础配置中配备一兆字节 RAM 的个人电脑，也是第一台每千字节成本低于1美元的电脑。 Question: Prológica CP-400 和 Atari ST 都是个人电脑吗？"|是|是的|0.91619563|1.0|0.0|0.0|5.0|1.0
2|Context: 柴郡协会足球联赛是位于英格兰柴郡的足球比赛，直到2007年之前被称为中柴郡协会足球联赛。从2017-18赛季开始，该联赛设有四个分区：超级组、第一组、第二组和预备组。联赛成立于1948年，仅有一家俱乐部（Knutsford）自联赛成立以来一直保持持续会员资格。另有两个创始成员最近才退出联赛 - Whitchurch Alport在2012年退出，Barnton在2014年夏天退出。 阿什顿镇联合足球俱乐部是一家位于英格兰大曼彻斯特阿什顿-因-梅克菲尔德的足球俱乐部。该俱乐部目前是柴郡联赛超级组的成员，并在距离镇中心东北一英里的埃奇格林街球场比赛。 Question: 阿什顿镇足球俱乐部目前是2017-18赛季柴郡联赛哪个分区的成员？|超级组|超级联赛|0.7056593|1.0|0.0|0.0|5.0|1.0
3|Context: 维尔吉尼娅·鲁兹奇（1955年1月31日生）是来自罗马尼亚的前职业网球运动员。她曾获得1978年法国公开赛单打冠军。 安迪·巴伦·穆雷爵士（1987年5月15日出生）是一名来自苏格兰的英国职业网球运动员，目前在男子单打排名世界第三。穆雷在运动中代表英国，曾三次获得大满贯赛事冠军，两次获得奥运会冠军，还赢得了戴维斯杯冠军和2016年ATP世界巡回赛决赛冠军。 Question: 弗吉尼亚·鲁兹齐和安迪·穆雷都参与哪项运动？||职业网球运动员|0.27066323|0.0|0.0|0.0|1.0|0.0
4|Context: 威廉·金（William King，1768年2月9日－1852年6月17日）是来自缅因州巴斯的美国商人、造船商、军官和政治家。他是缅因州建州的倡导者，并在1820年从马萨诸塞州分离出来时成为其首任州长。 1820年缅因州州长选举于1820年4月3日举行。这是缅因州在从马萨诸塞州分离并于1820年3月15日被承认为一个州后，第一次进行的州长选举。缅因州的分离是《密苏里妥协》的结果。这次选举几乎一致地选出了威廉·金，这位推动缅因州成为州的主要负责人。他没有对手。 Question: 密苏里妥协后第一任州长来自哪里？|缅因州|缅因州巴斯|0.859566|1.0|0.0|0.0|1.0|0.0
5|Context: 帕果帕果国际机场（IATA代码：PPG，ICAO代码：NSTU，FAA LID代码：PPG），也被称为塔夫纳机场，是一个公共机场，位于美属萨摩亚的图图伊拉岛上，距离帕果帕果中央商务区西南方向7英里（11.3公里），坐落于塔夫纳村庄和平原。美属萨摩亚是美国的一个未合并领地。 查塔努加大都会机场（IATA代码：CHA，ICAO代码：KCHA，FAA LID代码：CHA），也被称为洛弗尔机场，是一座公共机场，位于美国田纳西州汉密尔顿县查塔努加市中心商务区以东五英里（8公里）处。该机场由查塔努加大都会机场管理局拥有和运营。作为一个C类机场，它由查塔努加进近提供服务。 Question: 哪个机场距离其当地社区的中央商务区更近：帕果帕果国际机场还是查塔努加都会机场？||查塔努加大都会机场|0.36613303|0.0|0.0|0.0|1.0|0.0
6|"Context: 瑞士短脚猎犬（FCI编号：60）（翻译成英文为Small Swiss Hound）是一种来自瑞士的嗅觉猎犬类型的犬种。""Niederlaufhund""意为短腿猎犬。该犬种有多个不同的品种（均属同一犬种）。 葡萄牙波登戈犬是一种古老的多感官猎犬（视觉和嗅觉）品种，来自葡萄牙。作为一个品种，波登戈犬分为三种大小类别，彼此之间不进行杂交：小型（Pequeno）、中型（Medio）和大型（Grande）。它们的被毛分为短而“光滑”或长而“硬”的两种类型。光滑毛发的种类是传统类型，可以追溯到5世纪，而硬毛发的种类是20世纪多种其他犬种融合的结果。总体而言，该品种比较健康；其中的小型（Pequeno）品种平均寿命约为15至17年。 Question: 瑞士猎犬和葡萄牙波登戈犬都是来自葡萄牙的犬种吗？"|不|不|0.9953752|1.0|0.0|0.0|1.0|0.0
7|Context: Velvetpark: Dyke Culture in Bloom 是一个女同性恋和女权主义艺术与文化网站，定期介绍音乐、文学、戏剧、艺术、电影、电视，以及影响酷儿文化的社会活动。“Velvetpark”还为女同性恋和酷儿身份的女性提供了一个社交网络和约会社区。 《Shape》是一本英语月刊健身杂志，由魏德出版社于1981年创办，由女性自由重量健身领域的先锋克里斯汀·麦金泰尔创立，并成为领先的女性健身杂志。那时，魏德企业主要由健美杂志《Muscle & Fitness》组成。乔·魏德和克里斯汀·麦金泰尔对于如何呈现《Shape》杂志有着不同的观点，魏德支持一种更具商业性而不那么新闻化的文章风格，而麦金泰尔则支持一本更学术化、以医生为基础的杂志。魏德还支持一种更具性感的编辑风格，而麦金泰尔支持一种对女性更健康的外观，摒弃模特和文章中性感的元素。麦金泰尔基本赢得了这场斗争，编辑了一本要求每篇署名文章都具备高级医学学位、封面模特看起来健康而非性感、避免性别歧视语言的杂志。克里斯汀·麦金泰尔担任主编直到1988年去世。塔拉·克拉夫特是现任主编。《Shape》根据这一公式找到了读者群体。 Question: 《Velvetpark》杂志或《Shape》杂志是否更倾向于为女同性恋和酷儿身份的女性读者撰写？|Velvetpark|天鹅绒公园|0.7764026|1.0|0.0|0.0|1.0|0.0
8|Context: 杰克·托马斯·奇克（1924年4月13日－2016年10月23日）是一位美国漫画家和出版商，以其福音派基要主义基督教小册子“奇克小册子”而闻名，这些小册子通过连环画形式的道德剧展示了他对各种问题的观点。 弗雷德·卡特（Fred Carter，1938年6月22日出生）是一位美国艺术家，以自1972年以来为杰克·奇克的小册子创作的作品而闻名。 Question: 哪位美国漫画家和出版商雇用了弗雷德·卡特为他工作？|杰克·奇|杰克·奇克|0.9361042|1.0|0.0|0.0|1.0|0.0
9|Context: 夏威夷州参议院是夏威夷州立法机关的上议院。参议院由25名成员组成，从群岛的相同数量的选区中选出。参议院由参议院议长领导，议长由参议院成员选举产生，目前为罗恩·高知。夏威夷王国政府期间夏威夷州参议院的前身是1840年成立的贵族院。1894年，夏威夷共和国宪法将上议院更名为现参议院。参议员的任期为四年，不受任期限制。与美国大多数州立法机关一样，夏威夷州参议院是一个兼职机构，参议员通常在政府外有活跃的职业。立法机关的下议院是夏威夷州众议院。参议院的成员还选举其他官员，包括参议院副议长、参议院书记长、副书记长、参议院警卫长和副警卫长。 苏珊·N.J. '苏茜'·春·奥克兰是夏威夷参议院的民主党成员，自1996年以来代表第13选区。在此之前，她是夏威夷众议院的成员，任期为1990年至1996年。她普遍被认为具有自由派政治观点。 Question: 苏珊·春·奥克兰（Suzanne Chun Oakland）是夏威夷州立法机构的上院还是下院的议员？|上院|下议院|0.8104166|1.0|0.0|0.0|1.0|0.0
