|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from Spanish to English: ""- Ya sabes, Siciliana, Gambito de reina..."""|"""- You already know,"|- You know, Sicily, Queen's Gambit...|0.45308986|0.0|0.4444444444444444|0.0|5.0|1.0
1|"Translate the following from Spanish to English: ""Sólo la gravedad cuántica de bucles calcula la entropía de los agujeros negros."""||Only loop quantum gravity calculates the entropy of black holes.|0.4106713|0.0|0.0|0.0|4.0|1.0
2|"Translate the following from Spanish to English: ""Soy joven."""|I am young.|I've just grown u...|0.6967081|0.0|0.25|0.0|1.0|0.0
3|"Translate the following from Spanish to English: ""Así que esta noche tú rezarás conmigo."""||So this evening you'll pray with me|0.45812806|0.0|0.0|0.0|4.0|1.0
4|"Translate the following from Spanish to English: ""¡Miranda, dentalina, ilang ilang!"""|Miranda|Miranda, dentaline, ilang ilang!|0.6304454|0.0|0.4|0.0|1.0|0.0
5|"Translate the following from Spanish to English: ""Un día abierto a visitas cuando su casa recién se pone en el Mercado puede ser muy importante, pero no por las razones que los dueños creen. Así como con la publicidad, muchos visitantes de los Open Houses raramente están interesados en comprarlas."""|An open house day when your home is just entering the market can be very important, but not for the reasons that the owners believe. Just like with advertising, many visitors to open houses rarely are interested in buying them.|An open house when your property is first placed on the market can be very important, but not for the reasons most homeowners think.|0.85339075|1.0|0.53125|1.0|4.0|1.0
6|"Translate the following from Spanish to English: ""El párrafo 2 de la Orden permanente pide al Presidente de la Cámara que nombre a ese efecto un Comité de Selección compuesto al menos por siete diputados."""||But such resolution cannot be proceeded with until after the expiration of a period of one month from the date on which the Select Committee was appointed.|0.31471676|0.0|0.0|0.0|1.0|0.0
7|"Translate the following from Spanish to English: ""Sólo espero haber cumplido con lo que una madre espera de su hijo."""|</|I only hope I lived up to what a mother should expect from her son.|0.40982854|0.0|0.0|0.0|4.0|1.0
8|"Translate the following from Spanish to English: ""La crisis que se escribe con mayúsculas es la que suele acompañar el declive de un imperio."""||The crises that one writes in capital letters are those that typically go with the decline of an empire.|0.3282114|0.0|0.0|0.0|4.0|1.0
9|"Translate the following from Spanish to English: ""La gran explosión fue tan inmensa que trajo a la existencia toda la masa y toda la energía contenida en las 400 mil millones de galaxias que vemos hoy."""|The great explosion was so immense that it brought into existence all the mass and all the energy contained in the 400 trillion galaxies we see today.|This is the birth of a black hole.|0.52782995|0.0|0.05714285714285714|0.0|1.0|0.0
10|"Translate the following from Spanish to English: ""No estaba en shock."""|She was not in shock.|It wasn't shock.|0.8170172|1.0|0.22222222222222224|0.0|2.0|0.0
11|"Translate the following from Spanish to English: ""Qué acontecimiento tan glorioso."""|What glorious occurrence.|What a gloriously splendid occasion.|0.9018376|1.0|0.25|0.0|5.0|1.0
12|"Translate the following from Spanish to English: ""No se preocupe, estos consejos pueden ayudarle a mejorar adecuadamente sus nutrientes."""|</|Do not be concerned, these tips may help you properly improve your nutrients.|0.47760275|0.0|0.0|0.0|4.0|1.0
13|"Translate the following from Spanish to English: ""Si creo que me dices la verdad... entonces te evitaré el sufrimiento."""|If I think you are being honest... then I will avoid your|If I think you're telling me the truth, I'll let you end it quickly.|0.65480196|0.0|0.35714285714285715|0.0|4.0|1.0
14|"Translate the following from Spanish to English: ""Estoy inquieta por vuestro príncipe, alteza."""|I am anxious about your prince, Your Highness.|I'm concerned about your prince, Your Highness.|0.96061695|1.0|0.75|1.0|4.0|1.0
15|"Translate the following from Spanish to English: ""Te pregunto qué eres."""|""""|I asked what you are.|0.51910275|0.0|0.0|0.0|3.0|0.0
16|"Translate the following from Spanish to English: ""Sabes, mi relación con Matthew, no tiene nada que ver contigo."""|"""You see, my relationship with Matthew, has nothing to do with you."""|Y-you know,my relationship with matthew has nothing to do with you.|0.9472524|1.0|0.8799999999999999|1.0|2.0|0.0
17|"Translate the following from Spanish to English: ""¿Cuánta altura?"""""|</answer|"How high do you think it is?"""|0.558292|0.0|0.0|0.0|1.0|0.0
18|"Translate the following from Spanish to English: ""- ¿Te acuerdas de Sandra?"""||-Connor, you remember Sandra? -Yes, I do.|0.4133121|0.0|0.0|0.0|3.0|0.0
19|"Translate the following from Spanish to English: ""Se casó con D.ª Luísa da Silva, pero no dejó descendencia."""||He married D. Luísa da Silva, but left no legitimate issue.|0.22994447|0.0|0.0|0.0|4.0|1.0
20|"Translate the following from Spanish to English: ""Pare en el Howard Johnson Quebec para descubrir las maravillas de la región durante su estancia."""||Stop at Howard Johnson Quebec to discover the wonders of the region during your stay.|0.34210145|0.0|0.0|0.0|4.0|1.0
21|"Translate the following from Spanish to English: ""Sólo quiero aclarar la historia del Sr. Baines."""|"""I only want to clarify Mr. Baines' story."""|I just want to get Mr. Baines's story quite straight.|0.89758855|1.0|0.631578947368421|1.0|4.0|1.0
22|"Translate the following from Spanish to English: ""Pese al gran número de mujeres en las zonas rurales de Namibia, están en situación muy desfavorecida en lo que respecta al acceso a la tierra, al trabajo, a los servicios y bienes agrícolas, a los recursos naturales y al empleo."""||Notwithstanding the large number of rural women in Namibia, they are severely disadvantaged in terms of access to land, labour, agricultural services and assets, natural resources and employment.|0.29649574|0.0|0.0|0.0|5.0|1.0
23|"Translate the following from Spanish to English: ""Su hija Hélène ganó la plata en individual femenino."""|His daughter Hélène won silver in the women's individual event.|His daughter Hélène won silver in the women's singles.|0.95994806|1.0|0.8799999999999999|1.0|4.0|1.0
24|"Translate the following from Spanish to English: ""-Tírenlo aquí!"""||-Throw it here!|0.53125703|0.0|0.0|0.0|5.0|1.0
25|"Translate the following from Spanish to English: ""Sólo seremos tú, Turati, yo y dos oficiales para asegurarse de que todo sea legal."""|</answer|It will just be you, Turati and myself... and a couple of officials to make sure that everything is legal.|0.3791361|0.0|0.0|0.0|4.0|1.0
26|"Translate the following from Spanish to English: ""- Sí. - ¿Con hielo?"""||- With ice?|0.515134|0.0|0.0|0.0|5.0|1.0
27|"Translate the following from Spanish to English: ""La investigación de MKW abarcó, por lo tanto, además de los SPE de los quince países de la UE, también a Islândia y Noruega que son miembros de EURES."""|The MKW research covered, in addition to the SPEs of the fifteen countries of the EU, Iceland and Norway, which are EURES members.|- allows employers and job applicants to register their job vacancies respectively CVs interactively and personally,|0.30214873|0.0|0.10526315789473685|0.0|1.0|0.0
28|"Translate the following from Spanish to English: ""Algunas televisiones comerciales pueden prestar servicios públicos."""||Some commercial television can deliver some public service obligations.|0.39373314|0.0|0.0|0.0|3.0|0.0
29|"Translate the following from Spanish to English: ""PROMOCIÓN Y PROTECCIÓN DE LOS DERECHOS HUMANOS"""|PROMOTION AND PROTECTION|United Kingdom of Great Britain and Northern Ireland: amendment|0.5291065|0.0|0.16666666666666666|0.0|1.0|0.0
30|"Translate the following from Spanish to English: ""¿Recuerdas lo primero que me dijiste?"""|</|Do you remember the first thing you ever told me?|0.46617985|0.0|0.0|0.0|4.0|1.0
31|"Translate the following from Spanish to English: ""Tema 117 c) del programa"""||Agenda item 117 (c)|0.5443239|0.0|0.0|0.0|5.0|1.0
32|"Translate the following from Spanish to English: ""Un poco de respeto, joder, creo que ésta me gusta de veras."""||Have some fucking respect. I think I actually like this one.|0.41036102|0.0|0.0|0.0|1.0|0.0
33|"Translate the following from Spanish to English: ""Si saco esa rampa ahora... tendré que volver a montar todos los números en una tarde."""|If I take that ramp out now... I'll have to rebuild all the numbers in|If I take that ramp out now... I will have to completely restage all the numbers in one afternoon.|0.86786515|1.0|0.7999999999999999|1.0|4.0|1.0
34|"Translate the following from Spanish to English: ""Número de visitas: 661"""|Number|Number of visits: 2305|0.47027928|0.0|0.4|0.0|1.0|0.0
35|"Translate the following from Spanish to English: ""Transmisión..."""|Transmission...|If the form is based on only one table, the field to be displayed in the form is specified directly under Data Field.|0.30066043|0.0|0.0|0.0|1.0|0.0
36|"Translate the following from Spanish to English: ""http://www.treasures4teachers.org"""|http://www.tre|http://www.treasures4teachers.org|0.7176064|1.0|0.5714285714285715|1.0|1.0|0.0
37|"Translate the following from Spanish to English: ""En la Conferencia que se celebrará más adelante este año para examinar la Convención sobre ciertas armas convencionales podemos encontrar la forma de impedir, en primer lugar, que las municiones se conviertan en dispositivos explosivos sin detonar, encontrar la forma de limpiar el terreno lleno de esos artefactos y además encontrar la forma de advertir a los ciudadanos del peligro que suponen."""|At the Conference that will be held later this year to examine the Convention on Certain Conventional Weapons, we can find a way to prevent, first of all, ammunition from becoming unexploded devices, find a way to clean up the land filled with those devices, and also find a way to warn citizens of the danger they pose.|We need to deal with other explosive remnants of war. At the conference late this year to review the Convention on Certain Conventional Weapons, we can find ways to prevent munitions from becoming unexploded ordnance in the first place, ways to clear infested terrain and ways to warn citizens of danger.|0.91673297|1.0|0.5504587155963303|1.0|4.0|1.0
