|question|predictions|references|embed_sim|embed_sim_accuracy|rouge_l|rouge_l_accuracy|judge_score|judge_score_accuracy
0|"Translate the following from Japanese to English: ""落ち着く〜！"""|Calm down~!|I feel so at home!|0.6795391|0.0|0.0|0.0|1.0|0.0
1|"Translate the following from Japanese to English: ""行使に数週間かかる 複製作業も"""|"""It also involves complex tasks that take several weeks to complete."""|Probably takes Cohen a few weeks to rule... and then there's a redaction process.|0.5071235|0.0|0.23076923076923075|0.0|2.0|0.0
2|"Translate the following from Japanese to English: ""じゃ、ハット、 刑務所にいても、あまり影響なかったみたい"""|So, it seems that even while in prison, the hat didn't have much of an impact.|Well, Hutt, it doesn't look like prison had to adverse an effect on you.|0.69912505|0.0|0.18750000000000003|0.0|4.0|1.0
3|"Translate the following from Japanese to English: ""まっ 頑張ってましたね （山里）頑張ってるってことが"""|"""Well, you've been really working hard, haven't you? (Yamazato) The fact that"|-They work hard.|0.61712605|0.0|0.23529411764705882|0.0|3.0|0.0
4|"Translate the following from Japanese to English: ""艦隊のクルーは戦闘で テストされることはなくなる"""|The crew of the fleet will|No crew in Starfleet has been tested more in battle.|0.5745689|0.0|0.125|0.0|4.0|1.0
5|"Translate the following from Japanese to English: ""嫌いな国だね 馬を見かけないし"""|It's a country I don't like, I don't see any|Well, I think we should win. I hate Vietnam.|0.58567625|0.0|0.18181818181818185|0.0|1.0|0.0
6|"Translate the following from Japanese to English: ""さあ ニッキ 謙遜するな"""|Come on, Nikki, don't be modest.|Come on, Nicky, don't be modest.|0.94544595|1.0|0.8571428571428571|1.0|5.0|1.0
7|"Translate the following from Japanese to English: ""私もよ"""||- Pleased to meet you. - It's nice to meet you.|0.36936632|0.0|0.0|0.0|1.0|0.0
8|"Translate the following from Japanese to English: ""私たちの一族では、 十二の名前が使用される。"""|In our family,|In our clan, 12 names are used in.|0.5409031|0.0|0.36363636363636365|0.0|2.0|0.0
9|"Translate the following from Japanese to English: ""レスター　いま谷に降りている"""|"""Leicester is currently descending into the valley."""|Galt is dead.|0.4502584|0.0|0.2|0.0|1.0|0.0
10|"Translate the following from Japanese to English: ""多分の為に支払ってるんじゃないわ フレディ"""|"""It's not like I'm paying for the sake of maybe, Freddie."""|"We don't pay you for ""maybe"", Freddie."|0.807878|1.0|0.380952380952381|0.0|4.0|1.0
11|"Translate the following from Japanese to English: ""この封筒は誰が？"""|Whose envelope is this?|Do you know how this envelope got here?|0.8424021|1.0|0.16666666666666666|0.0|1.0|0.0
12|"Translate the following from Japanese to English: ""忘れてたのよ"""|"""I had forgotten it"|I forgot about it. He...|0.8568117|1.0|0.4444444444444445|0.0|3.0|0.0
13|"Translate the following from Japanese to English: ""あなたはローマの援軍を反対した 大公ノタラス"""|You opposed the Roman reinforcements, Patriarch Notalas. </answer|You were against the Latin support, Grand Duke Notaras.|0.7246643|1.0|0.23529411764705882|0.0|4.0|1.0
14|"Translate the following from Japanese to English: ""世界中の笑いものだ だがやめんぞ"""||The world's laughing! - Right. But we're not dead.|0.413187|0.0|0.0|0.0|1.0|0.0
